label,metric,closest_frac,closest_all,worst_margin,worst_t,worst_y,worst_iter,n_pairs
pTll_106_170,L1,1.0,1,-0.052011442247663194,2,1198,2,26624
pTll_170_350,L1,1.0,1,-0.05998162642316951,1,1043,1,26624
pTll_50_76,L1,1.0,1,-0.07403665475469073,7,1460,7,26624
pTll_76_106,L1,1.0,1,-0.09719613984634629,7,1860,7,26624
phistar_50_76,L1,1.0,1,-0.08432660515146485,9,527,9,26624
pTll_106_170,MDL,1.0,1,-0.05201144224766319,2,1198,2,26624
pTll_170_350,MDL,1.0,1,-0.05998162642316951,1,1043,1,26624
pTll_50_76,MDL,1.0,1,-0.07403665475469073,7,1460,7,26624
pTll_76_106,MDL,1.0,1,-0.09719613984634629,7,1860,7,26624
phistar_50_76,MDL,1.0,1,-0.08432660515146485,9,527,9,26624
