label,metric,closest_frac,closest_all,worst_margin,worst_t,worst_y,worst_iter,n_pairs
pTll_106_170,L1,1.0,1,-0.07025830900554206,12,312,12,6656
pTll_170_350,L1,1.0,1,-0.11857811038733028,10,248,10,6656
pTll_50_76,L1,1.0,1,-0.16798810100867786,7,499,7,6656
pTll_76_106,L1,1.0,1,-0.1375132179006074,7,505,7,6656
phistar_50_76,L1,1.0,1,-0.12392674509897064,8,128,8,6656
pTll_106_170,MDL,1.0,1,-0.07025830900554204,12,312,12,6656
pTll_170_350,MDL,1.0,1,-0.11857811038733028,10,248,10,6656
pTll_50_76,MDL,1.0,1,-0.1679881010086779,7,499,7,6656
pTll_76_106,MDL,1.0,1,-0.1375132179006074,7,505,7,6656
phistar_50_76,MDL,1.0,1,-0.12392674509897064,8,128,8,6656
