x,alignment_strength
0,11
1,1
2,2
3,2
4,3
5,2
6,4
7,2
8,4
9,3
10,4
11,2
12,5
13,1
14,3
15,3
16,4
17,1
18,5
19,1
20,5
21,3
22,3
23,1
24,6
25,2
26,2
27,3
28,4
29,1
30,6
31,1
32,4
33,3
34,2
35,3
36,6
37,1
38,2
39,2
40,6
41,1
42,5
43,1
44,4
45,4
46,2
47,1
48,6
49,2
50,4
51,2
52,3
53,1
54,5
55,3
56,5
57,2
58,2
59,1
60,7
61,1
62,2
63,4
64,4
65,2
66,5
67,1
68,3
69,2
70,5
71,1
72,7
73,1
74,2
75,3
76,3
77,3
78,4
79,1
80,6
81,3
82,2
83,1
84,6
85,2
86,2
87,2
88,5
89,1
90,7
91,2
92,3
93,2
94,2
95,2
96,6
97,1
98,3
99,4
100,5
101,1
102,4
103,1
104,4
105,4
106,2
107,1
108,6
109,1
110,5
111,2
112,5
113,1
114,4
115,2
116,3
117,3
118,2
119,2
120,8
121,2
122,2
123,2
124,3
125,2
126,6
127,1
128,4
129,2
130,4
131,1
132,6
133,2
134,2
135,4
136,4
137,1
138,4
139,1
140,6
141,2
142,2
143,2
144,7
145,2
146,2
147,3
148,3
149,1
150,6
151,1
152,4
153,3
154,4
155,2
156,5
157,1
158,2
159,2
160,6
161,2
162,5
163,1
164,3
165,4
166,2
167,1
168,7
169,1
170,4
171,3
172,3
173,1
174,4
175,3
176,5
177,2
178,2
179,1
180,8
181,1
182,3
183,2
184,4
185,2
186,4
187,2
188,3
189,4
190,4
191,1
192,6
193,1
194,2
195,3
196,4
197,1
198,6
199,1
200,6
201,2
202,2
203,2
204,5
205,2
206,2
207,3
208,4
209,2
210,7
211,1
212,3
213,2
214,2
215,2
216,7
217,2
218,2
219,2
220,6
221,1
222,4
223,1
224,5
225,4
226,2
227,1
228,5
229,1
230,4
231,4
232,4
233,1
234,5
235,2
236,3
237,2
238,3
239,1
240,8
241,1
242,3
243,3
244,3
245,3
246,4
247,1
248,4
249,2
250,4
251,1
252,7
253,2
254,2
255,3
256,4
257,1
258,4
259,2
260,5
261,3
262,2
263,1
264,7
265,2
266,3
267,2
268,3
269,1
270,7
271,1
272,4
273,3
274,2
275,3
276,5
277,1
278,2
279,3
280,7
281,1
282,4
283,1
284,3
285,3
286,3
287,2
288,7
289,1
290,4
291,2
292,3
293,1
294,5
295,2
296,4
297,4
298,2
299,1
300,7
301,2
302,2
303,2
304,4
305,2
306,5
307,1
308,5
309,2
310,4
311,1
312,6
313,1
314,2
315,5
316,3
317,1
318,4
319,2
320,6
321,2
322,3
323,1
324,6
325,2
326,2
327,2
328,4
329,2
330,7
331,1
332,3
333,3
334,2
335,2
336,7
337,1
338,2
339,2
340,5
341,2
342,5
343,2
344,4
345,3
346,2
347,1
348,5
349,1
350,5
351,3
352,5
353,1
354,4
355,2
356,3
357,3
358,2
359,1
360,9
361,1
362,2
363,3
364,4
365,2
366,4
367,1
368,4
369,3
370,4
371,2
372,5
373,1
374,3
375,3
376,4
377,1
378,6
379,1
380,5
381,2
382,2
383,1
384,6
385,4
386,2
387,3
388,3
389,1
390,6
391,1
392,5
393,2
394,2
395,2
396,7
397,1
398,2
399,3
400,6
401,1
402,4
403,1
404,3
405,4
406,3
407,2
408,6
409,1
410,4
411,2
412,3
413,2
414,5
415,2
416,4
417,2
418,3
419,1
420,8
421,1
422,2
423,3
424,4
425,2
426,4
427,2
428,3
429,3
430,4
431,1
432,7
433,1
434,3
435,3
436,3
437,1
438,4
439,1
440,7
441,4
442,2
443,1
444,5
445,2
446,2
447,2
448,5
449,1
450,7
451,2
452,3
453,2
454,2
455,3
456,6
457,1
458,2
459,3
460,5
461,1
462,6
463,1
464,4
465,3
466,2
467,1
468,6
469,2
470,4
471,2
472,4
473,2
474,4
475,2
476,4
477,3
478,2
479,1
480,8
481,1
482,2
483,3
484,4
485,2
486,5
487,1
488,4
489,2
490,5
491,1
492,5
493,1
494,2
495,5
496,4
497,2
498,4
499,1
500,5
501,2
502,2
503,1
504,8
505,2
506,3
507,2
508,3
509,1
510,6
511,2
512,4
513,3
514,2
515,2
516,5
517,2
518,3
519,2
520,6
521,1
522,5
523,1
524,3
525,4
526,2
527,1
528,7
529,1
530,4
531,3
532,4
533,1
534,4
535,2
536,4
537,2
538,2
539,3
540,8
541,1
542,2
543,2
544,4
545,2
546,5
547,1
548,3
549,3
550,5
551,1
552,6
553,2
554,2
555,3
556,3
557,1
558,5
559,1
560,7
561,3
562,2
563,1
564,5
565,2
566,2
567,4
568,4
569,1
570,6
571,1
572,4
573,2
574,3
575,2
576,7
577,1
578,2
579,2
580,5
581,2
582,4
583,2
584,4
585,4
586,2
587,1
588,6
589,1
590,4
591,2
592,4
593,1
594,6
595,3
596,3
597,2
598,2
599,1
600,8
601,1
602,3
603,3
604,3
605,3
606,4
607,1
608,4
609,3
610,4
611,1
612,6
613,1
614,2
615,3
616,6
617,1
618,4
619,1
620,5
621,3
622,2
623,2
624,6
625,2
626,2
627,3
628,3
629,1
630,8
631,1
632,4
633,2
634,2
635,2
636,5
637,2
638,3
639,3
640,6
641,1
642,4
643,1
644,4
645,3
646,2
647,1
648,7
649,2
650,4
651,3
652,3
653,1
654,4
655,2
656,4
657,3
658,3
659,1
660,8
