label,iter_from,iter_to,d_v_depth,d_v_pnorm,d_v_dnorm,d_v_arrow,delta_arrow,Q_shape
atlas_4l_m4l_8tev,0,1,1.0,3.4897233978092856e-05,-0.0001420654215434709,-0.0001411700691802409,1.0,-1.7041667786416637e-08
atlas_4l_m4l_8tev,1,2,1.0,-1.43842669277916e-05,-1.4207507494318121e-05,-6.87692625822578e-05,1.0,-4.895061656201976e-09
atlas_4l_m4l_8tev,2,3,1.0,-0.00017927390740624105,-1.4207604542648688e-06,-0.000550573544117583,1.0,-3.35269950783739e-07
atlas_4l_m4l_8tev,3,4,1.0,-0.001710287105558983,-1.4207662471014088e-07,-0.005224576247749191,1.0,-3.0221278947880552e-05
atlas_4l_m4l_8tev,4,5,0.9999999999999996,-0.011565000746179166,-1.4210823716349315e-08,-0.03475270315716639,0.9999999999999996,-0.0013414996189892061
atlas_4l_m4l_8tev,5,6,1.0000000000000004,-0.030798562609251512,-1.4261408958738952e-09,-0.06904227781595651,1.0000000000000004,-0.005715387584811705
atlas_4l_m4l_8tev,6,7,1.0,-0.14506124908655682,-1.4363405011031273e-10,-0.14238512978003115,1.0,-0.041316291169028393
atlas_4l_m4l_8tev,7,8,1.0,-1.0302828793688712,-1.458553690657215e-11,-1.0692895987556916,1.0,-2.20486305752772
atlas_4l_m4l_8tev,8,9,1.0,-2.3732737326371396,-1.7836674301365022e-12,-2.7730646828583216,1.0,-13.322315945341545
atlas_4l_m4l_8tev,9,10,1.0,-0.9056848203021943,-2.592753059214564e-13,-1.09925185765348,1.0,-2.0286196402804446
atlas_4l_m4l_8tev,10,11,1.0,-0.11686750425291109,-2.8935633603656577e-14,-0.14266759504628318,1.0,-0.034012056226594437
atlas_4l_m4l_8tev,11,12,1.0,-0.0120272008545782,-2.9321425735946552e-15,-0.014691399218696501,1.0,-0.00036049077139948274
atlas_4l_pt4l_8tev,0,1,1.0,4.581394701830277e-05,-0.00026330339864110076,-0.0004020158181265998,1.0,-1.496141823071021e-07
atlas_4l_pt4l_8tev,1,2,1.0,0.0001065698473645682,-2.633417809563567e-05,-0.0005532750466592518,1.0,-3.173293539735277e-07
atlas_4l_pt4l_8tev,2,3,1.0,0.0010217836634920374,-2.633456280613777e-06,-0.005132412724175417,1.0,-2.7385700815659224e-05
atlas_4l_pt4l_8tev,3,4,1.0,0.009403344680833925,-2.633467646380948e-07,-0.03521928351862247,1.0,-0.001328820822737574
atlas_4l_pt4l_8tev,4,5,0.9999999999999996,0.04972816208793951,-2.6338353381235385e-08,-0.0021985384278506714,0.9999999999999996,-0.0024777236758629795
atlas_4l_pt4l_8tev,5,6,1.0000000000000004,0.03656643906342261,-2.6370602039442652e-09,-0.014584678463686274,1.0000000000000004,-0.0015498173116681114
atlas_4l_pt4l_8tev,6,7,1.0,-0.1790390397450139,-2.6405510369399625e-10,-0.15186680557520216,1.0,-0.05511850438843292
atlas_4l_pt4l_8tev,7,8,1.0,-1.3626344211828494,-2.6549278394424824e-11,-1.1889234248164833,1.0,-3.2703114758696747
atlas_4l_pt4l_8tev,8,9,1.0,-2.9970032391039387,-3.2002633177966392e-12,-3.18642883416755,1.0,-19.135357130413873
atlas_4l_pt4l_8tev,9,10,1.0,-1.152698570489277,-5.609431368678791e-13,-1.39398094444402,1.0,-3.2718968678810647
atlas_4l_pt4l_8tev,10,11,1.0,-0.1510823812250109,-6.80867625026341e-14,-0.1879611542237804,1.0,-0.05815528141375528
atlas_4l_pt4l_8tev,11,12,1.0,-0.015586018824848401,-6.9743422013083756e-15,-0.0194531042769788,1.0,-0.0006213472488195396
dijet_chi_13tev_cms_mgt6,0,1,1.0,-9.574619647789717e-06,-8.88471857635102e-06,-3.9623082701112367e-05,1.0,-1.6456059893406241e-09
dijet_chi_13tev_cms_mgt6,1,2,1.0,-0.00012423758382595906,-8.884918970315458e-07,-0.00033780831825502844,1.0,-1.2954927654961187e-07
dijet_chi_13tev_cms_mgt6,2,3,1.0,-0.0011962921611550215,-8.885050712255769e-08,-0.0032559690300599797,1.0,-1.2032449257944954e-05
dijet_chi_13tev_cms_mgt6,3,4,1.0,-0.008548921183572311,-8.893244813280142e-09,-0.024113095801243656,1.0,-0.0006545254425228697
dijet_chi_13tev_cms_mgt6,4,5,0.9999999999999996,-0.02293706632336212,-9.069906444573013e-10,-0.06418586622403533,0.9999999999999996,-0.004645934434452071
dijet_chi_13tev_cms_mgt6,5,6,1.0000000000000004,-0.0889230639413987,-9.559556080117242e-11,-0.16212731440505923,1.0000000000000004,-0.03419257737692301
