alpha,pc1,pc2,odd_even,norm
9.999999999999999547e-07,4.636809385729631638e-01,-4.254048897848416999e-03,0.000000000000000000e+00,2.843327524637752290e+00
1.000000000000000082e-05,4.636398383504000131e-01,-4.246823125243298636e-03,0.000000000000000000e+00,2.843311190054878423e+00
1.000000000000000048e-04,4.632290055122834094e-01,-4.174707920456439958e-03,0.000000000000000000e+00,2.843147940068774471e+00
1.000000000000000021e-03,4.591375379688820146e-01,-3.467572697010742888e-03,0.000000000000000000e+00,2.841524968615275704e+00
1.000000000000000021e-02,4.198354264873024877e-01,2.404573576404483298e-03,0.000000000000000000e+00,2.826196046632029280e+00
1.000000000000000056e-01,1.395473257942905221e-01,1.790372122397990845e-02,0.000000000000000000e+00,2.730847668533284534e+00
1.000000000000000000e+00,-4.408343988969182226e-01,5.608227685596624962e-03,0.000000000000000000e+00,2.618897853475886439e+00
1.000000000000000000e+01,-6.387835343459161708e-01,-2.503210037447335667e-03,0.000000000000000000e+00,2.609305299234786268e+00
1.000000000000000000e+02,-6.634616526022780736e-01,-3.579583624681005605e-03,0.000000000000000000e+00,2.609161741701932158e+00
1.000000000000000000e+03,-6.659904868410094769e-01,-3.690576183293776957e-03,0.000000000000000000e+00,2.609160240313106449e+00
