alpha,pc1,pc2,odd_even,norm
9.999999999999999547e-07,-1.000109435035432259e-01,8.881784197001251337e-16,0.000000000000000000e+00,5.361751605275068222e+00
1.000000000000000082e-05,-1.000021655023369815e-01,8.881784197001251337e-16,0.000000000000000000e+00,5.361751206074039544e+00
1.000000000000000048e-04,-9.991442023726085364e-02,8.881784197001251337e-16,0.000000000000000000e+00,5.361747216432127594e+00
1.000000000000000021e-03,-9.904042845552016305e-02,8.881784197001251337e-16,0.000000000000000000e+00,5.361707555595908836e+00
1.000000000000000021e-02,-9.063329981654566492e-02,8.881784197001251337e-16,0.000000000000000000e+00,5.361333310761219550e+00
1.000000000000000056e-01,-3.034217729132848707e-02,8.881784197001252323e-16,0.000000000000000000e+00,5.359035129105946815e+00
1.000000000000000000e+00,9.506335756112330171e-02,8.881784197001254296e-16,0.000000000000000000e+00,5.356425973270882324e+00
1.000000000000000000e+01,1.378847597058629193e-01,8.881784197001254296e-16,0.000000000000000000e+00,5.356207257116004428e+00
1.000000000000000000e+02,1.432240866565785975e-01,8.881784197001254296e-16,0.000000000000000000e+00,5.356203989691493028e+00
1.000000000000000000e+03,1.437712308829703356e-01,8.881784197001254296e-16,0.000000000000000000e+00,5.356203955519990956e+00
