label,step_t,step_t1,A_t,A_t1,dA,Qd,Qd_minus_eps,dv_pnorm,dv_dnorm,dv_arrow
z_pt_7tev_atlas,0,1,-6.0,-5.0,1.0,0.0015393315206579453,0.0015393315196579453,-0.03161356291281869,-0.11319373631664509,-0.10136110230567486
pTll_76_106,0,1,-6.0,-5.0,1.0,0.00010162693358069293,0.00010162693258069293,0.004475899972733011,-0.0181440840538224,-0.014406497562057474
z_pt_7tev_atlas,1,2,-5.0,-4.0,1.0,1.5314782229656817e-05,1.5314781229656818e-05,-0.0031593175971798004,-0.0115935769442712,-0.010445810473736827
ttbar_mtt_8tev_cms,0,1,-6.0,-5.0,1.0,7.799390391460625e-06,7.799389391460625e-06,-0.00036387684260486,-0.0031645203482896,-0.0014430496480350996
pTll_106_170,0,1,-6.0,-5.0,1.0,2.0951229924057923e-06,2.0951219924057925e-06,0.0009717957358414964,-0.002013054185256,-0.0010064180086679642
pTll_76_106,1,2,-5.0,-4.0,1.0,1.0171232079570608e-06,1.0171222079570608e-06,0.0004507971681455558,-0.0018233860184032002,-0.0014506533966951451
pTll_50_76,0,1,-6.0,-5.0,1.0,6.075419103101211e-07,6.075409103101211e-07,0.00045650225502669173,-0.0022914187782085,-0.0021058641451841
z_pt_7tev_atlas,2,3,-4.0,-3.0,1.0,1.5034615345217233e-07,1.5034515345217233e-07,-0.00031574864455752305,-0.0011621667825492,-0.0010490892576271449
ttbar_mtt_8tev_cms,1,2,-5.0,-4.0,1.0,7.226394695947347e-08,7.226294695947347e-08,-3.95590722002126e-05,-0.00031680096404248376,-0.00016289255251678014
pTll_106_170,1,2,-5.0,-4.0,1.0,1.988759509008462e-08,1.988659509008462e-08,9.545084594453357e-05,-0.00020146934987820122,-0.0001076635493504341
pTll_170_350,0,1,-6.0,-5.0,1.0,1.7590902931006977e-08,1.7589902931006976e-08,0.00010597420077118613,-0.0002159100323275918,-0.0001334005543451866
pTll_50_76,1,2,-5.0,-4.0,1.0,2.288355330209307e-09,2.2873553302093072e-09,4.412592304525731e-05,-0.0002293230613352654,-0.00021989455210480457
pTll_76_106,2,3,-4.0,-3.0,1.0,1.305146093937103e-09,1.3041460939371029e-09,5.376114895572215e-05,-0.00018242882631599398,-0.00017054286686946085
