label,step_t,step_t1,A_t,A_t1,dA,Qd,Qd_minus_eps,dv_pnorm,dv_dnorm,dv_arrow
pTll_76_106,9,10,3.0,4.0,1.0,1.495033945982918,1.495033945981918,-2.7747815773953417,-2.2032981531502704e-11,-2.490859059896738
z_pt_7tev_atlas,10,11,4.0,5.0,1.0,0.23314690363763851,0.2331469036366385,-0.7544006942295773,-1.1205374119103579e-11,-0.5796322142673143
dijet_chi_7tev_cms,6,7,0.0,1.0,1.0,0.14282514459977957,0.14282514459877957,-0.4578814782304601,-7.18985098867889e-12,-0.2585155769131364
hgg_pt_8tev_atlas,7,8,1.0,2.0,1.0,0.026136683631198643,0.026136683630198644,-0.5743267795041374,-1.5923804911625634e-13,-0.551103044833174
z_pt_7tev_atlas,9,10,3.0,4.0,1.0,0.01730089377017194,0.017300893769171943,-0.1350352198997169,-1.1622579403776255e-10,0.030555144299985848
dijet_chi_7tev_cms,5,6,-1.0000000000000004,0.0,1.0000000000000004,0.003767496499203008,0.003767496498203008,-0.06633853723418115,-7.304410997986853e-11,-0.025165552311996464
dijet_chi_7tev_cms,4,5,-2.0,-1.0000000000000004,0.9999999999999996,4.241339263056231e-05,4.2413391630562305e-05,-0.006968861339283539,-7.305793216732272e-10,-0.0024802491277284844
dijet_chi_7tev_cms,3,4,-3.0,-2.0,1.0,4.2931872169766726e-07,4.293177216976673e-07,-0.0007004545934097273,-7.305807202314012e-09,-0.00024762454579008164
dijet_chi_7tev_cms,2,3,-4.0,-3.0,1.0,4.294892426406982e-09,4.293892426406982e-09,-7.010572525389946e-05,-7.305805782221577e-08,-2.4898091282032908e-05
dijet_chi_7tev_cms,1,2,-5.0,-4.0,1.0,3.697928214401681e-11,3.5979282144016804e-11,-7.25468555984321e-06,-7.305790165264063e-07,-3.888114546768406e-06
