seed,weight_decay,t_fit,t95,final_test_acc
0,0.2,80,,0.023986639454960823
1,0.2,80,,0.01912858709692955
2,0.2,80,,0.023379383608698845
0,0.3,80,,0.10399271547794342
1,0.3,80,,0.024138454347848892
2,0.3,80,,0.056626688688993454
0,0.4,80,,0.6336723566055298
1,0.4,80,,0.14953696727752686
2,0.4,80,,0.31638073921203613
0,0.5,80,14440,0.9741916060447693
1,0.5,80,,0.7815393805503845
2,0.5,80,,0.7974798679351807
0,0.6,80,11560,1.0
1,0.6,80,13720,0.9945346713066101
2,0.6,80,14620,0.9732807278633118
0,0.7,80,10080,1.0
1,0.7,80,11760,1.0
2,0.7,80,12200,1.0
0,0.8,80,8640,1.0
1,0.8,80,10200,1.0
2,0.8,80,10620,1.0
0,0.9,80,7520,1.0
1,0.9,80,9280,1.0
2,0.9,80,9620,1.0
0,1.0,80,6620,1.0
1,1.0,80,8160,1.0
2,1.0,80,8400,1.0
0,0.45,80,,0.890390157699585
1,0.45,80,,0.4209807217121124
2,0.45,80,,0.5210262537002563
0,0.46,80,,0.9350235462188721
1,0.46,80,,0.5114619731903076
2,0.46,80,,0.570214033126831
0,0.47,80,,0.9468650221824646
1,0.47,80,,0.47654470801353455
2,0.47,80,,0.6339760422706604
0,0.48,80,,0.9344162940979004
1,0.48,80,,0.6830120086669922
2,0.48,80,,0.6435403227806091
0,0.49,80,14760,0.9640200138092041
1,0.49,80,,0.712463915348053
2,0.49,80,,0.7420676946640015
0,0.5,80,14440,0.9741916060447693
1,0.5,80,,0.7815393805503845
2,0.5,80,,0.7974798679351807
0,0.51,80,14500,0.9735843539237976
1,0.51,80,,0.820252001285553
2,0.51,80,,0.7911036610603333
0,0.52,80,13960,0.9883103370666504
1,0.52,80,,0.8913010358810425
2,0.52,80,,0.8357370495796204
0,0.53,80,13360,0.998178243637085
1,0.53,80,,0.8706543445587158
2,0.53,80,,0.8647335767745972
0,0.54,80,12960,0.9998481869697571
1,0.54,80,,0.9271292090415955
2,0.54,80,,0.9131622910499573
0,0.55,80,12920,0.9998481869697571
1,0.55,80,,0.9476240873336792
2,0.55,80,,0.9139213562011719
