seed,weight_decay,t_fit,t95,final_train_acc,final_test_acc
0,1.0,,,0.02090715803205967,0.017458630725741386
1,1.0,,,0.024450743570923805,0.00743889482691884
2,1.0,,,0.021615875884890556,0.020798543468117714
0,0.0,,,0.01984408125281334,0.006528009660542011
1,0.0,,,0.023387668654322624,0.005161682143807411
2,0.0,,,0.02197023294866085,0.02155761420726776
0,0.02,,,0.020198440179228783,0.006224381271749735
1,0.02,,,0.02374202571809292,0.005465310532599688
2,0.02,,,0.02197023294866085,0.01973584294319153
0,0.05,,,0.01984408125281334,0.005617124494165182
1,0.05,,,0.025159461423754692,0.006376195698976517
2,0.05,,,0.021261516958475113,0.01882495917379856
0,0.08,,,0.01984408125281334,0.006376195698976517
1,0.08,,,0.02480510249733925,0.005465310532599688
2,0.08,,,0.021261516958475113,0.015485046431422234
0,0.12,,,0.01984408125281334,0.00607256731018424
1,0.12,,,0.023387668654322624,0.007135266438126564
2,0.12,,,0.021615875884890556,0.01639593206346035
0,0.2,,,0.01984408125281334,0.006376195698976517
1,0.2,,,0.023387668654322624,0.008501593954861164
2,0.2,,,0.021615875884890556,0.017914073541760445
