iter,n,best_deg_BIC,best_BIC,best_chi2dof,E0,E1,E2,E3,E4,R_E_hi,odd_even_raw,odd_even_evenproj,c3_over_c2_med,c3_over_c2_q10,c3_over_c2_q90,c4_over_c2_med,c4_over_c2_q10,c4_over_c2_q90,H_cond,H_eig_min,H_eig_med,H_eig_max
0,18,4,53.22794197814898,2.9827756298975507,11.478008527795192,11.65436923778237,3.827659121179322,0.048496170208545575,0.030247722905649015,0.0029207635525480935,0.8735570107670363,1.4019356180692737e-10,1.6931273096371703e-05,1.9739230369742226e-06,4.496729930946965e-05,0.7870509147708121,0.17723157508285897,2.1563974913756963,40.506672194344475,4482.728801490332,70508.33154046362,181580.42609811557
1,18,4,742.3396780908402,55.991370715489175,11.658335662586214,11.703473954620568,3.775194726546729,0.016049641914815393,0.03214627693592936,0.0017760220782010114,0.87050348821107,6.485298313599213e-11,0.00016913886175216647,1.9075768407610506e-05,0.0007760091430786263,14.549682383145473,0.758896908797982,34.35371607992934,579.762626104881,4585.990656325329,172577.22240510484,2658785.9862036193
2,18,4,2637.5688204616363,201.77822782093503,12.04075934618805,11.482493691007127,3.6646099807207255,0.0013389097208142354,0.026822668785343295,0.0010358143443491292,0.8543755424323093,3.739332960220517e-09,0.00011420123884998992,3.2712658503153774e-05,0.0015470314784250476,15.312683406165629,1.5725319681233598,155.9872017475953,330877.6597219258,4609.394125744377,173730.5432291345,1525145541.0622914
3,9,4,254.69961354342513,60.92837266418601,12.610946111992186,9.283306762081958,2.6509596506161563,0.008864575046704607,0.03777500354531511,0.0019001497153509081,0.7793228677205033,2.4580164216965354e-09,0.00020403723990931676,5.6646795909284415e-05,0.0007441781039009823,10.016273130112053,2.5914688399156787,34.826282230292406,142.333183164042,4659.059399011673,209745.03284895184,663138.75481168
4,9,4,3900.31191966303,972.3314491940872,13.170517423650464,9.225689229115963,2.494656220713021,4.207824812781023e-05,0.044900449021112274,0.0018055833378570153,0.7663219834432576,2.3773730362457303e-09,7.795382363008536e-05,1.08929642813399e-05,0.0006427525090589384,13.141119740756363,2.6111149863788037,118.78377960363987,19314.657786282718,4739.708683463382,230488.82856971197,91545851.22776783
5,9,4,44859.4908935393,11212.126192663156,23.98938570284392,5.680129594328662,0.31906897103029425,7.319122490523429e-05,0.004266338050226659,0.0001447060400157998,0.4833537996578676,2.018959792440755e-09,0.001576899801540274,0.00038892408675077667,0.014163317173484376,88.21124500431762,14.789547975926503,906.5837475371551,1869404.6842831837,5345.158533193343,405026.8239847884,9992264400.187866
6,4,2,13813.770594779926,13809.611711696567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,4,2,65859.98176266601,65855.82287958264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,4,2,65856.22245347848,65852.06357039511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,4,2,65836.65797086408,65832.49908778071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,4,2,65739.80260275652,65735.64371967316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
