iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,10,464.32937330827565,92.86587466165513,474.32937330827565,475.8422987732459,3.410226768244372e-05,0.0006259172445705628,0.0012620322415937912,0.0001876191830562079,0.004069490735868853,106.48825044044297,26.37672598397349,217.54847802817767,2303478.900515197,35.16424355158474,309.01634861052645,81000093.07365301,4.580654525449526,-0.0001578500622875395,-0.6555274824854401,-6.884011355400864e-07,-0.11576791550287807
1,9.999999999999999e-06,10,464.3742934331862,92.87485868663724,474.3742934331862,475.88721889815645,3.410413962886477e-06,0.0006263833696275318,0.0010072554601680862,0.0,0.0024502752956245574,38.40021999963961,8.80708123271223,153.46056953525476,23033548.240813725,35.16610140153591,309.01750394163986,810000093.0736246,4.580696420232181,-1.578599170951e-05,-0.6554733820453778,-6.884553118859989e-08,-0.11581186016197836
2,9.999999999999999e-05,10,464.37878609868056,92.87575721973612,474.37878609868056,475.8917115636508,3.410468103761812e-07,0.0006258213519293264,0.0012548565956583603,0.000314962649699257,0.002835025976648778,41.133370431403804,7.946807131988421,90.98417480769771,230238289.59713373,35.18094278430765,309.0190992016893,8100000093.073618,4.5806807621056285,-1.5786193264307025e-06,-0.6554904658052741,-6.884498099914059e-09,-0.11575956562690062
3,0.001,10,464.37925467872674,92.87585093574535,474.37925467872674,475.892180143697,3.4108259712209485e-08,0.0006197268553180514,0.001650435658933879,0.0003495717796148389,0.004007696012682999,46.9463528967146,19.072006790846512,156.55896518779133,2292742653.861388,35.32886691694557,309.03407152967355,81000000093.0736,4.580481680940329,-1.5787238343358937e-07,-0.6557159440098206,-6.883406201264442e-10,-0.11519041962860885
4,0.01,10,464.38106088742006,92.876212177484,474.38106088742006,475.8939863523903,3.414220126886706e-09,0.0005632321848799718,0.0014702555765016812,0.0002228966690491523,0.003691735497687201,34.50355767043517,10.220453758724242,80.39384441560519,22013162162.920547,36.79616740649169,309.1851435662712,810000000093.0732,4.578578151011733,-1.5797109823150007e-08,-0.6578648676863492,-6.8729643535766e-11,-0.1097770842966165
5,0.09999999999999999,10,464.4641803837194,92.89283607674388,474.4641803837194,475.97710584868963,3.4373132046683954e-10,0.0002583360336621561,0.0012258169722752744,0.0005308899708236012,0.003525873059785169,56.255237507881716,9.029620357585753,118.86410768407822,161338572782.59808,50.20498111761362,310.85683457690095,8100000000093.067,4.565540856732731,-1.5864210316272612e-09,-0.6720593723497439,-6.803357951404457e-12,-0.07417195905667173
6,1.0,10,464.95144555376515,92.99028911075303,474.95144555376515,476.4643710187354,3.4964206884512856e-11,1.0052833730301312e-05,0.0007907912655210463,7.073993834023962e-05,0.001867681789549281,52.826776376818195,7.680668877880166,110.76032961373024,862615017390.4388,93.90052151553337,381.89241995223074,81000000000093.1,4.53118095950825,-1.6029333842062364e-10,-0.6972614468196151,-6.664276752741665e-13,-0.014535755623812366
7,10.0,10,472.01508528915474,94.40301705783095,482.01508528915474,483.528010754125,3.7528465197651836e-12,2.448189516880044e-07,0.0015600007395873943,0.00023234151961889642,0.0034807328768718974,47.65518790602613,15.643616227692196,158.27699396364108,7210264466026.937,112.33984603707972,2644.20000943517,810000000000092.9,4.38115195220284,-1.6660552190338068e-11,-0.7172542717269949,-6.361951422548879e-14,0.002196616381535838
8,100.0,10,867.7694021345702,173.55388042691405,877.7694021345702,879.2823275995404,6.086884544156189e-13,7.402514610425053e-07,0.0018009800183450572,0.0,0.004911353075719378,69.51189320307465,15.936747454977553,209.94214030913508,39707075615138.32,203.9938694682408,25682.242388822335,8100000000000094.0,3.338703108406903,-2.0751329761053685e-12,-0.6896764413994733,-3.9582205282752856e-15,0.002933196334827104
9,1000.0,10,4133.083613171974,826.6167226343948,4143.083613171974,4144.596538636944,2.813628206320585e-13,6.87125116623196e-07,0.007567387527527654,0.0,0.014887728325767829,339.6372011126425,67.69046975719652,804.0233011394166,73772461243851.12,1097.97068762907,256080.5295160471,8.100000000000013e+16,1.0046036435914476,-2.914691893307803e-13,-0.25278576799553076,2.7707550365586116e-16,0.0008587048243244367
10,10000.0,10,6251.142603596949,1250.2285207193897,6261.142603596949,6262.655529061919,2.4719942010816106e-13,6.688454996652454e-07,0.007818330562906364,0.0005448162189609102,0.014382601769097718,242.6789722172942,40.14202347635286,923.8094760696575,80233964610756.48,10095.475200927665,2560070.14965663,8.1e+17,0.12601828473135193,-3.219396805199956e-14,-0.032871482289060325,5.504259118178793e-17,0.00010651001730904696
11,100000.0,10,6559.620013086066,1311.9240026172133,6569.620013086066,6571.132938551036,2.4375417181001476e-13,6.667630682000702e-07,0.008646749936435633,0.0005912415836760543,0.03149413438865202,577.8174612162596,38.11528940165735,1342.788347351612,80789558125953.14,100260.48152623733,25599844.481201176,8.100000000000002e+18,0.012931456338489283,-3.258376231858524e-15,-0.0033863124398767854,5.860367586265811e-18,1.09152955346422e-05
12,1000000.0,10,6591.822765051712,1318.3645530103424,6601.822765051712,6603.335690516682,2.434093282901207e-13,6.665516731108621e-07,0.006267964632391022,0.0,0.017588506359211668,285.0328305809206,65.50839294835022,1223.0287636678472,80977624930228.78,1000276.3117563713,255998292.5127403,8.100000000000003e+19,0.0012965377366508503,-3.262383953828528e-16,-0.0003396530827333818,5.897053088485126e-19,1.094247218195149e-06
