iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,7,598.3708377974084,299.1854188987042,608.3708377974084,608.100388542685,5.076666241060941e-05,0.005216550376463624,0.0012968789005958483,0.0004527994639355082,0.0025568709691170376,155.75002237962354,48.27912719384419,252.9924303616042,5281996.978119832,15.335163728724261,549.1722569978765,81000288.4740944,5.747900406427569,-0.00029255151275151486,-0.02027983763471973,-2.6648594252349345e-06,0.4151486605633604
1,9.999999999999999e-06,7,598.5259367140968,299.2629683570484,608.5259367140968,608.2554874593734,5.077300195389724e-06,0.005216113673921704,0.0008519129706772608,0.00020553811353532983,0.0019944915329557643,37.993016429709755,7.501048291065167,103.32217249809906,52814866.88440293,15.336596232382021,549.2063844896179,810000288.473092,5.74794778497309,-2.925903714990583e-05,-0.020156244155658504,-2.6652092497968524e-07,0.4151346730157759
2,9.999999999999999e-05,7,598.541454397226,299.270727198613,608.541454397226,608.2710051425025,5.07728924975378e-07,0.005206280590597963,0.001068318155020783,0.00032729426118567574,0.002661843692135839,47.481924495203,7.884255621438695,78.51384679679839,527657967.5160132,15.350853748317885,549.2183545540037,8100000288.472988,5.748083119345987,-2.9259515080072395e-06,-0.019890338491327045,-2.665315078814735e-08,0.41475289387931585
3,0.001,7,598.5434379841719,299.27171899208594,608.5434379841719,608.2729887294485,5.076551070093195e-08,0.005108949318257329,0.0009687339803091923,0.0002572704392670508,0.003253784263513048,91.1886952863118,22.191230898095768,184.61285879999173,5228033252.867045,15.493398065907998,549.3051646578821,81000000288.47298,5.749388831109528,-2.926044743272043e-07,-0.017354607488675306,-2.6660268122646094e-09,0.41095044654270807
4,0.01,7,598.5796681986308,299.2898340993154,608.5796681986308,608.3092189439074,5.06970191342998e-09,0.004270871346984023,0.0017079503562516841,0.00036921675072806745,0.005476416037033299,165.06053216724354,54.61881291741314,371.18502139059814,47883456867.442696,16.916071922936194,550.1726358934847,810000000288.4736,5.761194103961533,-2.9268634959689598e-08,0.0056097928685588105,-2.672452084512092e-10,0.37650518207942446
5,0.09999999999999999,7,599.6037454189037,299.80187270945186,609.6037454189037,609.3332961641803,5.034163867606149e-10,0.0012631236515438815,0.0010997400738614158,0.00039623022875616545,0.0037694932202018056,33.97380617034836,9.90293398459187,124.24066516070793,262370786139.51852,30.87233955986704,559.1050991871108,8100000000288.473,5.818324399800241,-2.931376866065708e-09,0.11895653536358292,-2.704585768331797e-11,0.20682908694003535
6,1.0,7,602.0351844090486,301.0175922045243,612.0351844090486,611.7647351543252,5.024785513635637e-11,5.627721986805763e-05,0.0006719476510864443,0.00015926184895295528,0.0024011165875258617,34.8978376461916,10.727208633787434,71.21740886309388,576355049922.1837,140.53837128905985,675.9556368090897,81000000000288.48,5.855031742105938,-2.94428639474153e-10,0.23174190282227206,-2.7440662037503883e-12,0.043957752772009376
7,10.0,7,614.5775824457121,307.28879122285605,624.5775824457121,624.3071331909887,5.3490060024629975e-12,4.707797991810028e-06,0.0015938971916212646,0.0004303033531997374,0.007537628162433061,59.0093001054414,34.00383125273787,295.65230456327487,3755801573659.7437,215.666345549508,2803.409739338274,810000000000288.2,5.673144332441932,-3.0384990684612746e-11,0.2934460893496425,-2.8452597868654623e-13,0.012325738494298967
8,100.0,7,1277.1291410223876,638.5645705111938,1287.1291410223876,1286.8586917676641,8.885939932701203e-13,3.0237002501219768e-06,0.0014099648136479083,0.0005493870226341766,0.00878205142474007,77.29687927473671,26.37727765629751,258.0098217755225,26466382576998.84,306.0486251354863,25819.111977030476,8100000000000284.0,4.289914949956011,-3.836863637607933e-12,0.4925708143880301,-3.7246159614617393e-14,0.007508655247836387
9,1000.0,7,6491.833375612553,3245.9166878062765,6501.833375612553,6501.562926357829,4.820066827339937e-13,3.913055209401073e-06,0.0031661078957205407,0.00028268119723402063,0.012908539500861857,113.74583269918574,20.793484661704323,605.2887461942687,67546277561473.21,1199.1778514557363,256215.8870767145,8.100000000000026e+16,1.2820289443965358,-6.367442380090315e-13,0.3189224217514992,-6.851447499190074e-15,0.0026133299280548207
10,10000.0,7,9957.495432101236,4978.747716050618,9967.495432101236,9967.224982846512,4.5032888335722016e-13,4.266614918259269e-06,0.006591738500258006,0.0005839536543235725,0.020137981568720105,917.3990075230018,388.4600590551971,2724.0547066273184,79066384856468.38,10244.55590666524,2560212.5869118,8.100000000000001e+17,0.1614975145114917,-7.583327131937549e-14,0.047738029048392125,-8.434059235721929e-16,0.00034785451452190504
11,100000.0,7,10474.210868609971,5237.1054343049855,10484.210868609971,10483.940419355247,4.4744246163594297e-13,4.310940683277454e-06,0.006020096232680789,0.0,0.0291694983076591,209.34971388884222,53.30657627076721,868.447006597306,80926548884645.62,100090.76269329003,25600339.51875632,8.100000000000001e+18,0.016585964322502696,-7.75071564681552e-15,0.005000267163037586,-8.654245171506163e-17,3.59680395820051e-05
12,1000000.0,7,10528.348469057708,5264.174234528854,10538.348469057708,10538.078019802984,4.471572117630467e-13,4.315482048240004e-06,0.006255387823471949,0.0006247123720120518,0.0268371994711387,407.77054990075055,176.76712875239437,1452.1777694642556,81122973266726.5,998484.1129241872,255997786.1523124,8.099999999999997e+19,0.0016630956272683313,-7.76808124450195e-16,0.0005023860170288949,-8.677115601047635e-18,3.6090625081773224e-06
