iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,3,3.0886012754369405,3.0886012754369405,13.08860127543694,8.58166271877749,3.0949903393105704e-06,2.706966380476917e-06,0.00014547974816241915,6.9202328493984395e-06,0.0005122627125305648,11.29351647930104,4.274579498345423,44.333335098166636,479816566190.2295,0.00016881457941922564,93.579166024752,81000031.81978063,-2.621277157133962,8.116769197361762e-06,-0.08779577267992907,1.0020704014815192e-07,-0.004315169270062979
1,9.999999999999999e-06,3,3.088721327929859,3.088721327929859,13.088721327929859,8.581782771270408,3.0950511777397407e-07,2.706963652565993e-06,0.00010810855450916709,8.515268261132165e-06,0.00033090835379313903,2.399563987096884,0.16415328568734172,13.653012261711025,479798406065.1581,0.0016882090927783611,93.58071160579004,810000031.8197643,-2.621274027700376,8.116918958931705e-07,-0.08779471826057278,1.0020900623837701e-08,-0.0043151618929175625
2,9.999999999999999e-05,3,3.088733335584089,3.088733335584089,13.088733335584088,8.581794778924639,3.0950353142646766e-08,2.7069773779844616e-06,0.00010364524908647053,2.2308447848369284e-06,0.0008043322804689304,6.190340502110459,1.2566541539479754,43.41310940172498,479840710978.8426,0.016880601929953602,93.58820737605203,8100000031.819759,-2.621266616809407,8.116854889940021e-08,-0.08779926011641029,1.0020938707667543e-09,-0.004315160896659954
3,0.001,3,3.088734738333335,3.088734738333335,13.088734738333335,8.581796181673884,3.0948142479672716e-09,2.707118686025223e-06,8.834393254273312e-05,3.918461564749037e-06,0.00042630263261911046,4.217995107569805,0.5317489198750922,16.520045098605056,480378143414.54224,0.1686171636704146,93.66250458217544,81000000031.81976,-2.621194899509711,8.116058042346142e-09,-0.08784618371352204,1.0021126698351963e-10,-0.0043151581765654675
4,0.01,3,3.08875506031851,3.08875506031851,13.08875506031851,8.58181650365906,3.092596807834349e-10,2.708531616662573e-06,4.905548228382897e-05,3.4506922541322607e-06,0.0005874402352281622,4.361317553185539,0.20408925635029262,22.482397206475248,485806169786.8753,1.6673316446087312,94.41908078593374,810000000031.8193,-2.6204782856206776,8.108075366379449e-10,-0.08831520864598158,1.0022983041959746e-11,-0.004315131355412327
5,0.09999999999999999,3,3.0907591082427,3.0907591082427,13.0907591082427,8.58382055158325,3.0703686532753386e-11,2.7226056313390243e-06,5.39979783610369e-05,9.51317200359694e-07,0.0007315870661454955,8.264047537034656,1.309983769133085,26.578642859706097,601910684254.6162,13.457146071534774,103.47356970753935,8100000000031.816,-2.6133440212577637,8.028388432827287e-11,-0.09296951311318748,1.0041119350540132e-12,-0.0043148290674651715
6,1.0,3,3.276229927206858,3.276229927206858,13.276229927206858,8.769291370547407,2.8430810840683195e-12,2.8579644854937065e-06,0.0002211140618379679,5.0667531657362294e-05,0.000602537145806534,4.635625783241814,0.6925795712099212,14.872406107397731,4655498429402.18,17.3987815114424,294.4588241007569,81000000000031.78,-2.545020255928407,7.245337794771997e-12,-0.13613378128741213,1.0182851761723522e-13,-0.004308638653444873
7,10.0,3,13.665239356186666,13.665239356186666,23.665239356186667,19.158300799527215,2.688102906016234e-14,3.806682529746377e-06,0.0003194794317832308,8.614938193520904e-05,0.0009640099563894034,9.130575235000393,1.317529424244059,36.21233471997371,30672944680151.465,26.40763736401822,2591.0150470263043,810000000000031.8,-2.058842865702589,5.541165469721402e-14,-0.364024028248342,9.394215467313654e-15,-0.004079256295787553
8,100.0,3,141.90543552158155,141.90543552158155,151.90543552158155,147.3984969649221,2.903913430964693e-13,5.448602931046616e-06,0.0003952011530532759,0.0,0.0035424684354371954,37.25358125597595,3.0215624152280673,101.38591654292836,69030346279463.016,117.33969821341944,25630.361427134867,8100000000000032.0,-0.8096876670342519,-2.538878102307602e-13,-0.32984758555832605,-6.68392687678542e-16,-0.0020408030099136054
9,1000.0,3,305.4062288213445,305.4062288213445,315.4062288213445,310.899290264685,3.252482226296056e-13,5.877104334299104e-06,0.0008804225088477047,0.0,0.0069493214265155985,86.90671997878542,29.97483966470665,438.2142467100646,80723959157236.34,1003.4195652151543,256029.66417512763,8.099999999999997e+16,-0.12003905335606153,-4.3290957913831223e-14,-0.05750568732869295,-2.1308081116897746e-16,-0.00032267695395247386
10,10000.0,3,338.03277417797347,338.03277417797347,348.03277417797347,343.525835621314,3.2874304468325104e-13,5.92590999708626e-06,0.0011737262631018417,0.0,0.0063929169661651455,39.05247956109038,0.0,219.43285881684483,80683312862003.0,10039.250636440604,2560031.2530277744,8.1e+17,-0.012632591349345305,-4.620514729355025e-15,-0.0061617689955265325,-2.3788129152862835e-17,-3.4214939889678525e-05
11,100000.0,3,341.60186563177456,341.60186563177456,351.60186563177456,347.0949270751151,3.2909240244190087e-13,5.930852230024706e-06,0.0005750431048591603,0.0,0.0058544165577261425,97.37350365620652,26.13895119619049,298.33447748710046,81144912276757.67,99821.41544960524,25600145.915554676,8.1e+18,-0.0012699348464227582,-4.651498869401274e-16,-0.0006205629690750405,-2.405297866145775e-18,-3.4422169769828195e-06
12,1000000.0,3,341.9621005648901,341.9621005648901,351.9621005648901,347.4551620082306,3.291273346070689e-13,5.93105382671745e-06,0.0011826397578114344,0.0,0.002890105747021241,49.96711268545529,4.334410145293655,149.67750103839202,80996145246077.73,1000047.5918194696,255997551.9443676,8.100000000000002e+19,-0.00012706065533806213,-4.654616884181703e-17,-6.210044943220797e-05,-2.4079643025936084e-19,-3.4443025843002947e-07
