iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,7,6.798759253040037,3.3993796265200187,16.79875925304004,16.5283099983166,3.1868146076465206e-06,0.004156346772671674,9.395128526770843e-05,0.0,0.00029409599441125714,4.481344456126284,0.0,18.904873792177312,47711002.86697502,1.6977217141887289,22.143334746632114,81000005.57298419,1.4367095767415827,-5.053501575379415e-06,-0.663716136157332,-6.763270568269675e-08,0.1020304295952055
1,9.999999999999999e-06,7,6.798805916346276,3.399402958173138,16.798805916346275,16.52835666162284,3.1870156715090684e-07,0.004148803494973577,0.0002785691440120785,0.0,0.0006811248851089844,7.562958281369215,0.11507193440052321,24.416443625913892,476730417.2953645,1.6990734725263765,22.143598516089128,810000005.5729835,1.4367080483072976,-5.053729605366892e-07,-0.6636657902497992,-6.763367755837898e-09,0.1019363516521741
2,9.999999999999999e-05,7,6.79881338179152,3.39940669089576,16.79881338179152,16.528364127068087,3.188867050129227e-08,0.0040712251566867004,0.00011661038843736429,3.289629228166785e-05,0.0005606766759603266,5.065425682029798,1.192099392651082,12.486826205063533,4729837698.859687,1.7125323364744218,22.145611672133022,8100000005.572983,1.43671384809087,-5.055788134229235e-08,-0.6631439215162764,-6.76408822112702e-10,0.1009651786684046
3,0.001,7,6.79904747807805,3.399523739039025,16.79904747807805,16.528598223354614,3.205590244698983e-09,0.0034012277402976714,0.00011990379205020828,0.0,0.00032183836038287514,3.5818660003721448,1.4902113848193683,12.089002805339597,43935525614.886475,1.8436105832799718,22.165918843357954,81000000005.573,1.4367523940666977,-5.074351270186547e-09,-0.6583960823380373,-6.770629790571269e-11,0.09217045213118065
4,0.01,7,6.805662937886803,3.4028314689434014,16.8056629378868,16.53521368316337,3.287440761454428e-10,0.0009745481692452038,0.0001922016135841745,3.955212954086867e-05,0.0003862011595791299,5.550635495518702,0.3865264606351231,23.088272531905496,290454981599.7816,2.7887282068436807,22.39536371949265,810000000005.5732,1.436090430088089,-5.162636607496219e-10,-0.6339284582721486,-6.804985141099308e-12,0.04900512297115848
5,0.09999999999999999,7,6.824357056079538,3.412178528039769,16.82435705607954,16.553907801356104,3.37841607835844e-11,2.606274214149303e-05,9.499542357924206e-05,5.05143437836491e-06,0.0004701023111763802,5.312212510089576,1.4017734963578423,26.014479601831415,2116347315926.1648,3.827349102413663,32.56200293610433,8100000000005.572,1.42064618337477,-5.197203726665223e-11,-0.5904689344632058,-6.87657634047105e-13,0.007854146761863552
6,1.0,7,7.105140234638032,3.552570117319016,17.105140234638032,16.834690979914598,3.4973989925683548e-12,3.622865743950595e-08,0.0002586505231114676,2.6286745638979592e-05,0.0007142362631173901,4.443488379874921,1.5897777544704477,15.082519497602718,16744340804504.354,4.837455289862231,260.65771578294937,81000000000005.6,1.2841157587057823,-4.716110610675892e-12,-0.4120953919813347,-7.213855187211985e-14,0.0002566939984057181
7,10.0,7,11.923964802637105,5.9619824013185525,21.923964802637105,21.65351554791367,2.4875814623337647e-13,6.293129366745168e-08,0.00036624196858459264,2.3425539249080055e-05,0.0009177568327736853,14.68635413096592,0.8088027067067254,39.04621750464758,58146775678552.6,13.930265101505425,2564.541289030535,810000000000005.8,0.7502454313066463,-1.8648203027045646e-13,0.010978906697484215,-7.908504838936203e-15,0.00018822754834061175
8,100.0,7,26.091139840651127,13.045569920325564,36.091139840651124,35.82069058592769,1.5574861839770338e-13,3.4033415057175465e-07,0.0004492826436875661,0.00010877796178855154,0.001676346476048684,25.730491994793496,9.102789850881319,83.06187068986802,77933237552564.03,103.9351149057135,25604.50826978466,8100000000000010.0,0.17174500380765728,2.7400905411872243e-14,0.038461564937986116,-7.656876355353689e-16,0.00010267457111241514
9,1000.0,7,32.03041446972001,16.015207234860004,42.03041446972001,41.75996521499657,1.9827504566543708e-13,4.0251838420832627e-07,0.00034628852685864313,0.0,0.0008090784703549801,21.417050685532928,0.0,54.760885449417756,80617656915869.83,1004.7426717515392,256005.059803476,8.1e+16,0.019988036807371858,4.090637647244317e-15,0.005124895817925104,-7.496340383132276e-17,1.3091476715733258e-05
10,10000.0,7,32.80217544067784,16.40108772033892,42.80217544067784,42.53172618595441,2.0253971485760068e-13,4.0932612017795864e-07,0.0007329296222423818,0.0,0.0018951955238139633,43.666590144239805,6.733982538929251,106.88172180328492,81821111865742.19,9899.645476941265,2560004.43569872,8.099999999999999e+17,0.0020325373681696944,4.252724905987345e-16,0.0005280998234503854,-7.475824974379929e-18,1.3435656068593049e-06
11,100000.0,7,32.88162036101293,16.440810180506464,42.88162036101293,42.61117110628949,2.0296627384975632e-13,4.100039813984942e-07,0.00048176546841864094,0.0,0.0038496240031567312,18.110975351038018,0.8758705715545613,70.3610093541169,81174653987537.8,99784.84172219002,25600021.21399808,8.099999999999999e+18,0.0002035978171098267,4.2692593130178094e-17,5.2969495950497786e-05,-7.473719190767275e-19,1.3470820335695725e-07
12,1000000.0,7,32.889588158852334,16.444794079426167,42.889588158852334,42.6191389041289,2.0300892205216495e-13,4.0915785328097686e-07,0.0004790878614145739,0.0,0.0016068614465450293,18.842271870420273,4.800391913268753,69.78720083356639,81323912341375.42,996017.0098554069,255999856.7913217,8.099999999999997e+19,2.0363229395361428e-05,4.270916077261465e-18,5.298548213255067e-06,-7.473508058357705e-20,1.3474344380774813e-08
