iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,12,7539.580278027695,1077.0828968610992,7549.580278027695,7552.004811276635,0.00033018992972644865,0.014888099574966632,0.0015354616598845302,0.0002668448618993952,0.006800748185599111,94.23697670134133,15.914297162396716,306.17743694863424,56933.77629063215,1422.7485352831,3889.4361312918054,81002446.82563257,-5.342394503018263,-0.0022366698368646667,-4.084238809829402,-3.2836743307914225e-05,0.820531825603113
1,9.999999999999999e-06,12,7548.7449532170485,1078.3921361738642,7558.7449532170485,7561.1694864659885,3.3038696657344284e-05,0.014883509639661986,0.0019081856795360426,0.0001906983891520369,0.004948685938453813,102.49516906082823,9.480910749453965,259.9086611513639,569156.5382234481,1423.1628601309626,3889.4480029018673,810002446.8003199,-5.343266931164174,-0.0002238325709916125,-4.084710969148741,-3.285196848863824e-06,0.8205248288322419
2,9.999999999999999e-05,12,7549.662533419491,1078.5232190599274,7559.662533419491,7562.087066668431,3.304068185125329e-06,0.014882861400706791,0.0016439419623621322,0.0002795798856615668,0.0038903460042315156,153.45556667052267,38.3100768218806,259.776058340595,5691381.939754559,1423.2048617610606,3889.468157128228,8100002446.797784,-5.343352561299932,-2.2384917527594224e-05,-4.084758500968824,-3.285341698115209e-07,0.8205187804639387
3,0.001,12,7549.7543151334785,1078.5363307333541,7559.7543151334785,7562.178848382418,3.3041015790854426e-07,0.014880908270966053,0.0012396335124843518,0.00046628144134490325,0.004725569472336996,224.70842279748342,83.78890571340632,432.12156725226913,56913402.78261024,1423.2148929170496,3889.65987050469,81000002446.79755,-5.343344286765011,-2.2385115704884022e-06,-4.084766031557643,-3.285280943279557e-08,0.8204646949238468
4,0.01,12,7549.764747361473,1078.537821051639,7559.764747361473,7562.189280610413,3.304240263503144e-08,0.014861850123698136,0.0023602361758719623,0.0009290909488125666,0.005340715430269214,81.38367335653618,24.765878832572483,216.72437940728076,569110322.9989297,1423.274134579915,3891.5766021180675,810000002446.7976,-5.343175175183043,-2.2385456704300133e-07,-4.0847945212784875,-3.2845230102778013e-09,0.8199248682431529
5,0.09999999999999999,12,7549.889545604779,1078.5556493721112,7559.889545604779,7562.314078853719,3.3056013977839214e-09,0.01467331537873919,0.001979199401560324,0.000641904850341221,0.0039948378975457775,61.7034139090875,23.915775347603784,172.27351045392228,5688774107.006966,1423.8568538817324,3910.804718687762,8100000002446.8,-5.341485199610694,-2.2388699791315384e-08,-4.085071402029412,-3.276983472031044e-10,0.8145653114088592
6,1.0,12,7560.799942309515,1080.114277472788,7570.799942309515,7573.224475558455,3.31863892104238e-10,0.012970626958677232,0.001989585540343323,0.0007834838875539713,0.004483679190570379,95.74161330553491,10.998108876237183,157.37613732307003,56676129260.25861,1429.1731114962386,4108.419932179938,81000000002446.81,-5.325497038258144,-2.2420849065726672e-09,-4.087528635193115,-3.206702874379164e-11,0.7645722396436695
7,10.0,12,7976.632714187387,1139.5189591696267,7986.632714187387,7989.057247436327,3.417867837063976e-11,0.005090182928113196,0.002244780588921184,0.0005011769249228659,0.006688902572415633,91.03068748008423,18.739387117431395,231.99630347164288,555316182460.3875,1458.6284815501965,6293.38529741239,810000000002446.8,-5.218543640774305,-2.272620842610797e-10,-4.0941305306593145,-2.800122341210239e-12,0.47322628818860163
8,100.0,12,9641.273672886644,1377.3248104123777,9651.273672886644,9653.698206135585,4.084945680760553e-12,0.0002383644361233893,0.0025253818494933855,9.640340738486096e-05,0.004581390692516389,318.30981763639284,84.06775305603442,715.453247247797,5171957019287.72,1566.1383050545871,29265.016158617793,8100000000002444.0,-4.811491488205019,-2.5431626535591192e-11,-3.950045397838906,-2.334583546133117e-13,0.09611144908062384
9,1000.0,12,20116.605452353735,2873.8007789076764,20126.605452353735,20129.029985602676,1.0257926581707676e-12,5.109252358573747e-06,0.0037844718295842045,0.0006914722750371704,0.009655147322004766,169.4055370961283,26.622929239067464,419.9791008056794,32830532817352.594,2467.21551705033,259654.42825168362,8.100000000000242e+16,-2.953298024053725,-4.1743350190044884e-12,-2.7997281553233844,-2.749659273947702e-14,0.009198451103455086
10,10000.0,12,62125.23488116273,8875.033554451818,62135.23488116273,62137.65941441167,6.874710847347516e-13,7.090477581833753e-07,0.009224851606074242,0.002249991175981518,0.02123766311714759,595.7001423159514,326.22843778130914,1136.990794151284,70632107884584.25,11467.87239202284,2563668.500016912,8.100000000000026e+17,-0.5903384203061016,-6.525825146269591e-13,-0.7433785536601959,-4.042581308801876e-15,0.0007993314848820973
11,100000.0,12,79372.18722996107,11338.883889994439,79382.18722996107,79384.61176321,6.436921637379007e-13,5.16135933182673e-07,0.01064385468330983,0.0007744389705950688,0.0312475844277687,321.3054700522216,15.488779411901378,664.0613749983507,79768199515834.38,101544.22500650922,25603752.602803607,8.100000000000006e+18,-0.06481343785795093,-7.136887906404076e-14,-0.0899600298199516,-4.542817887379975e-16,7.965653063192514e-05
12,1000000.0,12,81600.36871413022,11657.195530590032,81610.36871413022,81612.79324737916,6.389289331901231e-13,4.994538957898837e-07,0.01202529949243704,0.0005556094702522989,0.027586553758954257,322.4582286107794,118.30028730477667,796.2536063864726,80874030622909.89,1001557.5998391554,256002645.54257846,8.099999999999998e+19,-0.006542097527268903,-7.208375291531558e-15,-0.00919178333161354,-4.607255317302768e-17,7.973358669079308e-06
