iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,18,222619.65720557317,17124.58901581332,222629.65720557317,222634.10906436265,0.0077429352264615945,0.0006521685061057346,0.004296593301901159,0.001253196333519103,0.010168259726410916,342.76422949519434,111.55391224936295,1027.0257095108043,24176.515556731258,3352.6142790425033,60550.875072345414,81054531.27299044,8.551363132769632,-0.06638953969620395,0.5859403581292133,-1.9317374391744272e-05,-0.21889982132198568
1,9.999999999999999e-06,18,230608.65144036378,17739.127033874138,230618.65144036378,230623.10329915327,0.0007795011492172604,0.0006873124211739701,0.004535751539786033,0.0011759274812034475,0.012977718238649716,243.2031737481559,56.527769664803635,600.467862277994,239837.369254868,3377.5158984341347,61151.09686076832,810054527.6969348,8.644018345964723,-0.006758285806121751,0.631239832413275,-1.7317727885860425e-06,-0.22722067202789298
2,9.999999999999999e-05,18,231431.37104611442,17802.413157393417,231441.37104611442,231445.8229049039,7.80024929532966e-05,0.0006908987308570103,0.007445850690943557,0.003098431393573109,0.024033233618485236,800.1712241133332,134.63251765864354,1828.7883554777356,2396420.9971732637,3380.063243016926,61212.65290641031,8100054527.339317,8.653467162865534,-0.0006770455617121977,0.6358594802679368,-1.7113639315595216e-07,-0.22806920580620405
3,0.001,18,231513.88757117,17808.760582397692,231523.88757117,231528.33942995948,7.800778120587429e-06,0.0006912517571687057,0.004660251760010559,0.0006752185703259841,0.01973368954788953,533.5352536338964,191.9362172070384,1012.4396483399894,23962246.921186306,3380.319666754084,61218.944692945595,81000054527.30357,8.654411198288903,-6.771676977803305e-05,0.6363220874047723,-1.7092954459528306e-08,-0.22815311065157565
4,0.01,18,231522.1416857161,17809.395514285854,231532.1416857161,231536.5935445056,7.800878475716618e-07,0.0006912237100936897,0.005223592948927545,7.841123367425847e-05,0.01753595738415728,202.99091400316053,54.76113046724383,613.0186969249222,239619721.57771742,3380.3563796587855,61220.79046855694,810000054527.2991,8.654478434426407,-6.7718188175660985e-06,0.636365628724056,-1.7088543942691826e-09,-0.2281503289179662
5,0.09999999999999999,18,231522.968108474,17809.45908526723,231532.968108474,231537.41996726347,7.801363141901976e-08,0.0006905878209962622,0.006734532160070529,0.000999059724381612,0.014307809571599635,162.92953788944712,25.840119421225577,664.468651898451,2396116045.3833013,3380.470687191429,61233.14713974665,8100000054527.298,8.654213328587556,-6.77202975278016e-07,0.63634270904901,-1.7064698772018617e-10,-0.22803836954193718
6,1.0,18,231523.148693801,17809.47297644623,231533.148693801,231537.60055259048,7.806151389464335e-09,0.0006842416394581648,0.005761563833984424,0.0014361339735229567,0.012884998261445372,165.58462848127272,44.55090567006939,428.4023542138763,23953248215.075134,3381.5873040362585,61356.8364364234,81000000054527.25,8.651471710340846,-6.774013946448343e-08,0.6360688471354717,-1.6829467587788702e-11,-0.22691612035370937
7,10.0,18,231532.27843068278,17810.175263898676,231542.27843068278,231546.73028947227,7.853407458783542e-10,0.0006252969279653169,0.00663301690308887,0.0006219857740832978,0.02359794000704291,270.2087211157949,97.82363732502523,855.115422457764,238752115971.2689,3392.6400893217715,62666.33048778011,810000000054527.6,8.624352665608152,-6.7934225181284836e-09,0.6334369722235551,-1.4591055677356408e-12,-0.21624093690391635
8,100.0,18,232065.87081387365,17851.220831836436,232075.87081387365,232080.32267266314,8.284962397590179e-11,0.0003007361158094744,0.0034433975288415608,0.0008442181281592583,0.009431206970642429,132.30777194524467,33.04150774774009,502.537268248914,2316939314950.8247,3495.9914348151337,80833.7742278689,8100000000054526.0,8.375394554168752,-6.958680383542284e-10,0.6144963062019919,2.9318145265281054e-15,-0.14563435839089184
9,1000.0,18,246398.90919554557,18953.7622458112,246408.90919554557,246413.36105433505,1.1934863665648487e-11,1.72070649676994e-05,0.002285458751093252,0.0004369790693159336,0.004746358233535232,332.0420334592148,176.04827287323585,643.1520434800601,18334981585196.836,4417.784638815877,308400.1375270376,8.100000000005456e+16,6.632291375403851,-7.943015207010141e-11,0.5522971761229687,2.6630547514455963e-14,-0.027606898522517836
10,10000.0,18,373886.3826340937,28760.49097185336,373896.3826340937,373900.8344928832,4.7309340932003636e-12,6.168705998231227e-08,0.0022808500861917517,0.0005429204221167566,0.00954173371635195,250.69587132202378,159.1966336927371,406.5080953934633,60340509682805.23,13423.817668395894,2612060.2085518506,8.100000000000543e+17,2.178996428951435,-1.0483144311011481e-11,0.4025710675956213,3.5379594241048863e-15,-0.0005503534760559403
11,100000.0,18,473390.8654605426,36414.68195850328,473400.8654605426,473405.3173193321,3.835079623359098e-12,1.732522979864228e-07,0.0059234210556323216,0.0025847999806231613,0.012304615913352974,232.00123110268686,35.56369605716571,887.0155789528669,78318228252274.39,103424.1986924012,25652025.98078752,8.100000000000055e+18,0.2810096790916091,-1.2240472226816345e-12,0.15134016673320574,2.9056139981687765e-16,0.00013285052168994317
12,1000000.0,18,492511.3873062225,37885.49133124789,492521.3873062225,492525.839165012,3.561906346119336e-12,2.938128188242772e-07,0.00545549327960697,0.0011670010838814454,0.021517821618468613,109.93900830511934,45.18401087326458,437.69085478893044,80724568666244.7,1003411.9889186911,256052008.88693857,8.100000000000005e+19,0.028855872563805493,-1.282003441061677e-13,0.021512010834522453,2.419734583731516e-17,1.950931444410251e-05
