iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,1369,1.7972073528278528e+16,13176006985541.443,1.7972073528278538e+16,1.7972073528278564e+16,0.6103640118141187,0.0029766222195297463,0.04023791583124604,0.005129356303583372,0.11600495591845573,1904.5539470530266,246.8213231630835,4482.5042967013505,10.518485698323156,136080603350709.03,201013070290646.75,1431361880163619.0,-7.394955834376364,-5.180760496394267,-4.261072313562412,-0.5446577099932148,0.008049290473538329
1,9.999999999999999e-06,1369,1.7972073528279636e+16,13176006985542.256,1.7972073528279646e+16,1.7972073528279672e+16,0.6103639381378256,0.0029765975492708255,0.03825659766285759,0.003962305346552869,0.08993499250298921,2137.221886758869,186.77412196953446,3592.8894312430357,10.518485519903777,136080605720913.9,201013297166491.44,1431361880815168.0,-7.3949559380077154,-5.180760203776446,-4.261072468039159,-0.5446554531446047,0.008049208507096367
2,9.999999999999999e-05,1369,1.7972073528390796e+16,13176006985623.75,1.7972073528390806e+16,1.7972073528390832e+16,0.6103632014026352,0.0029763508635004335,0.04116640653250768,0.006430588070436809,0.12816945976088087,4361.493016577742,960.4370525565084,7830.203913082626,10.518483735722473,136080629422808.8,201015566292400.16,1431361887330691.2,-7.3949569742909,-5.180757277647989,-4.261074012769674,-0.5446328856814945,0.008048388906018234
3,0.001,1369,1.7972073539499724e+16,13176006993768.127,1.7972073539499734e+16,1.797207353949976e+16,0.6103558368232913,0.0029738856866506212,0.029986001287136584,0.00669317054858028,0.07904605590213856,1506.1381913869104,224.52035244914902,5672.792327624796,10.518465895164615,136080866426265.95,201038294330596.66,1431361952489130.0,-7.394967334092012,-5.180728021338658,-4.261089456380958,-0.5444073133027006,0.008040199226618088
4,0.01,1369,1.7972074641298492e+16,13176007801538.484,1.7972074641298502e+16,1.7972074641298528e+16,0.6102824667526353,0.002949400982257526,0.03738291310356205,0.004346190230251932,0.1381747151330393,1960.39518905477,520.2332849902766,7358.762472735336,10.518287612724906,136083234942451.72,201269285430658.53,1431362604394723.0,-7.395070630401729,-5.180435953535178,-4.261243524776135,-0.5421617681883685,0.00795893267757789
5,0.09999999999999999,1369,1.7972176312578388e+16,13176082340599.99,1.7972176312578398e+16,1.7972176312578424e+16,0.6095748837767265,0.0027202945361809064,0.03868907559758987,0.004643216751486944,0.1087169730347166,2059.799347371679,556.9452535105695,4000.781982856791,10.516515150034051,136106793491761.1,203980431868289.22,1431369155778661.5,-7.396074736610852,-5.177562669651361,-4.262749032723822,-0.5206796652230317,0.0072065251964901775
6,1.0,1369,1.7977413089430226e+16,13179921619816.88,1.7977413089430236e+16,1.7977413089430262e+16,0.6041696751769204,0.0013938194549205983,0.052345359920246824,0.01680931578934725,0.12501733984956284,1498.6591723236463,264.5995664649535,4809.916244067077,10.499209939441947,136337698995643.16,261767962809780.47,1431438124415701.0,-7.404130976810587,-5.152104729373051,-4.2753811894552305,-0.3726547144588045,0.0038105577913399983
7,10.0,1369,1.8017593216150052e+16,13209379190725.844,1.8017593216150064e+16,1.801759321615009e+16,0.5752174753885686,0.00010972288717192122,0.058043703295048425,0.01563977280694391,0.08879251538390039,4151.394917233949,880.5632113053199,9955.52848903016,10.34474252061939,138533898955491.38,416466293260200.8,1433097515072061.8,-7.447816297880844,-4.9621466997747055,-4.355817758139489,-0.09524582137326493,0.04240333462397419
8,100.0,1369,1.8563681350765956e+16,13609737060678.854,1.856368135076597e+16,1.856368135076599e+16,0.4043374443109478,0.0019874151382926505,0.024017173423875212,0.0023012645209402197,0.07489213696675667,1198.5611286112023,267.43551045695665,3342.467801365149,54.20018278749053,152759039719197.97,479829180479105.3,8279567875222056.0,-7.705396947251463,-3.6889213347683816,-4.8653211491371025,-0.009523410688950585,0.43817600329078893
9,1000.0,1369,2.2292019931185508e+16,16343123116704.918,2.229201993118552e+16,2.2292019931185544e+16,0.10130967835849199,0.015646239231947683,0.02407081777978263,0.009199881874127814,0.1787467050515897,2677.6487392215745,1150.048934181634,8926.737331646262,486.007092062234,167033319200792.4,1235180622837949.8,8.117937774228003e+16,-8.238702175558412,-1.036128221565698,-5.924047813325043,-0.0005803434338046095,1.275891382439143
