iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,7,11136.807330419626,5568.403665209813,11146.807330419626,11146.536881164902,0.0005187895863815845,0.03447502421685835,2.6056850703442724e-05,1.9448088119590487e-06,0.00018437522784947295,0.769302392933872,0.05857552064430922,11.92338004363795,-0.6695243496891605,-120216981.6873306,6161.726323859932,80488196.48580374,-6.35828498109099,-0.0035165102951926807,1.996681276162978,1.0318714342240142e-05,-1.237413519141269
1,9.999999999999999e-06,7,11159.090053134754,5579.545026567377,11169.090053134754,11168.81960388003,5.193375726239621e-05,0.03453586046113592,2.4700313688983698e-05,1.0251062056191604e-06,0.0014617018686314091,0.8640472545086104,0.1626905691912668,133.38779339312438,-6.88360667354937,-117508910.18300773,6169.009562075755,808885118.3372656,-6.3569114271413785,-0.0003520035741727601,1.9992052358586085,1.03267709424201e-06,-1.238401772079199
2,9.999999999999999e-05,7,11161.322011506949,5580.6610057534745,11171.322011506949,11171.051562252225,5.193939576207101e-06,0.03454118356189339,8.331472750348502e-06,2.0392952340491004e-06,0.0008061199884040824,0.9380184624939681,0.20482373696741715,50.94067840320521,-77.05759055955997,-105099806.19983946,6169.738020001995,8098737834.036331,-6.356774613623616,-3.520397369145851e-05,1.999453459870883,1.0327732254089414e-07,-1.2384867911227901
3,0.001,7,11161.545293265866,5580.772646632933,11171.545293265866,11171.274844011143,5.194148787776117e-07,0.03453402525502881,1.4722645860157313e-05,2.9980487134241178e-06,0.000188474289899652,1.1314852921449128,0.17709027096916835,24.78981608957298,-877.963248004965,-92257530.31360918,6169.84643418213,80998720967.05283,-6.356767863123056,-3.5205204663774395e-06,1.9994337865609544,1.0329375894580994e-08,-1.2383561589777272
4,0.01,7,11161.572511691684,5580.786255845842,11171.572511691684,11171.30206243696,5.1956959244401434e-08,0.034456545973122296,9.294047447251566e-06,2.4315859361307933e-06,0.00017640819274654124,0.7294881647310671,0.12295672844197482,15.279245383739257,-9000.79886062386,-89991869.81051187,6170.213631770217,809998719255.866,-6.356836422890736,-3.5214009718585074e-07,1.998987387448503,1.0344995642337277e-09,-1.2369534938650528
5,0.09999999999999999,7,11162.053219598825,5581.026609799413,11172.053219598825,11171.782770344102,5.210916005493648e-09,0.033695287562764645,1.011396265353378e-05,8.186802900882385e-07,0.0007214459871928025,1.1256198877403754,0.25727100077229414,119.42355042959807,-90249.3845132478,-89751290.41345969,6173.830384665195,8099998719084.494,-6.3575268549552675,-3.530061302614035e-08,1.9945530667399591,1.0499173859828438e-10,-1.223089986845506
6,1.0,7,11200.663786071065,5600.331893035533,11210.663786071065,11210.393336816342,5.345626341262566e-10,0.027293298977020573,9.74552198542998e-06,1.1236894041801775e-06,9.968015889939749e-05,0.5834072485784184,0.09910566902942103,10.76063523407525,-902737.4371547463,-89727084.95879337,6211.729147725902,80999998719067.31,-6.363652608885762,-3.6069098367859e-09,1.9550651017719582,1.1868679072277435e-11,-1.099815479087596
7,10.0,7,12131.94538236258,6065.97269118129,12141.94538236258,12141.674933107857,5.925592021682115e-11,0.006815718526278547,6.212792572467781e-06,1.8840659509470811e-06,0.0003632876749999764,0.4230729483307686,0.05763511440744032,3.6028827804735255,-9027622.855542306,-89724616.51095496,6849.805988812781,809999998719065.5,-6.390362493122617,-3.9434179506035584e-10,1.77537778218397,1.7932796317840188e-12,-0.547553276997277
8,100.0,7,13858.143819075633,6929.071909537816,13868.143819075633,13867.873369820909,6.20339182940185e-12,0.00018822883166018853,3.900966686882261e-05,1.6965081365053107e-06,0.0007537373284586919,2.5762566164122456,0.1245608532453548,81.41754019075962,-90276944.6900715,-89723904.88542855,27752.618231092027,8099999998719068.0,-6.400505120606216,-4.090180439133077e-11,1.581226786050712,2.180311095353947e-13,-0.0904527193033627
9,1000.0,7,15560.172674115307,7780.0863370576535,15570.172674115307,15569.902224860583,3.8502422407616575e-13,2.255674444236674e-06,1.8166939188367832e-05,9.568238806502864e-07,0.0002125874385471672,0.897380010422113,0.12006150389319446,9.00381535749186,-902816824.0939825,-89719196.44940843,254265.07531990085,8.099999999871902e+16,-6.293894697726559,-2.462376041097403e-12,1.1352803400796039,1.325316474356136e-14,-0.00960528670947709
10,10000.0,7,37535.102978310664,18767.551489155332,37545.102978310664,37544.832529055944,3.8988887608459244e-13,1.9764144025323273e-07,5.165771306386074e-05,2.3208973332121712e-06,0.0004570722034212899,3.3956591625732298,0.47730047444325446,33.09570757411677,-9032780803.919388,-89673381.60660937,2521438.943569833,8.099999999987191e+17,-5.895108367047897,2.303304831764464e-12,-0.38392910027442284,2.890106458404689e-15,-0.00262633352891894
11,100000.0,7,60688.595070213225,30344.297535106612,60698.595070213225,60698.324620958505,5.588407269085701e-13,2.406547747139418e-07,0.00015226371254107278,5.617082148440109e-06,0.016260871074746,11.10587544475835,1.3741048465228176,584.9230747453169,-90710615828.9494,-89294951.04820672,25273150.175196465,8.099999999998722e+18,-5.654941072402269,3.244959166514959e-12,-1.318451387897213,7.689515978805641e-15,-0.002848522116353511
12,1000000.0,7,-320139.13571379695,-160069.56785689847,-320129.13571379695,-320129.40616305167,5.803854364235304e-13,2.548445006451228e-07,0.0003624337691354575,7.862000318042026e-05,0.001826579481219687,19.52919199386218,2.8466816823953454,701.6647132521382,-924403522216.9023,-87624071.1477869,254901360.25925708,8.099999999999866e+19,-5.674957688727968,3.403439839363504e-12,-1.4774196986474495,8.634357009234748e-15,-0.0029603328704681155
