iter,alpha,n,chi2,chi2_dof,AIC,BIC,odd_even_ratio,R_E_hi,c3c2_med,c3c2_q10,c3c2_q90,c4c2_med,c4c2_q10,c4c2_q90,condA,eigminA,eigmedA,eigmaxA,b0,b1,b2,b3,b4
0,1e-06,26,657040.651713184,31287.65008158019,657050.651713184,657056.942195874,0.030270960845133855,0.002025392274474401,0.0012032585942507849,6.669802659659407e-05,0.0066002576561872,92.70152409055618,31.378829752987308,310.2845539123278,3404.1477327843436,23806.774624472404,415268.5322030631,81041777.86280558,-4.148780453744445,-0.12607050646479545,0.31587326002716665,0.001432076558769119,-0.18733404820354282
1,9.999999999999999e-06,26,686194.7516811631,32675.940556245863,686204.7516811631,686211.0421638532,0.0031172734425055104,0.002177021408359318,0.001950570935662849,0.0003771605666193133,0.004718728817870268,161.04918864747597,43.07781739338995,295.2708484323958,33645.507697078996,24075.777672496624,417519.70819114975,810041762.9931479,-4.110586691621983,-0.012884072963056202,0.3884208700658305,0.00014641172402073927,-0.19264929754615495
2,9.999999999999999e-05,26,689216.579377928,32819.837113234666,689226.579377928,689232.8698606181,0.000312652808104046,0.002192744774703951,0.003074334300509976,0.00010673617706023245,0.006764816070294872,46.62693382728314,2.134723541204649,121.43302806440649,336059.61068421026,24102.99096942403,417661.4785301581,8100041761.509675,-4.106674812953409,-0.0012912446395092893,0.39585136061702186,1.4673989752684536e-05,-0.19319357312552507
3,0.001,26,689519.8611005709,32834.27910002718,689529.8611005709,689536.151583261,3.127455868737439e-05,0.0021942864731708776,0.0006976885909195003,0.0,0.003565777694605755,65.4067843159837,23.24570288370178,275.2413191537367,3360200.5779763246,24105.71627546814,417675.1366398929,81000041761.36134,-4.106282878152276,-0.00012915290691220115,0.39659632327156136,1.467728262971538e-06,-0.19324654556625886
4,0.01,26,689550.200306824,32835.723824134475,689560.200306824,689566.490789514,3.127547825805576e-06,0.002194078000839935,0.0017935678592503187,0.00039052934941744217,0.005128386004526126,112.33247698994325,35.57810914237734,456.7394893669593,33601597.4571605,24105.99801970829,417676.5624625522,810000041761.3462,-4.106245684134998,-1.2915575958196796e-05,0.3966719719709998,1.4677643880325925e-07,-0.1932359719358734
5,0.09999999999999999,26,689553.2351981754,32835.868342770256,689563.2351981754,689569.5256808655,3.127548567815726e-07,0.0021904352468735647,0.002392792979141509,9.967590711056033e-05,0.005818803399072232,95.66610823103865,7.647072368774721,327.5373280481854,336014287.03447163,24106.11796673504,417677.35571920953,8100000041761.342,-4.106262033639907,-1.2915612153618722e-06,0.3966908733167097,1.4677998542059299e-08,-0.19307634041066066
6,1.0,26,689553.6232931934,32835.8868234854,689563.6232931934,689569.9137758835,3.1274645320019705e-08,0.0021543534225622837,0.0011986585026476882,0.0,0.007814301460620381,88.67485345390992,18.50145453776278,492.80457345086234,3360013930.542739,24107.042921895707,417683.9456282951,81000000041761.31,-4.106462313334289,-1.2915690836940058e-07,0.39680537450314496,1.468119004861765e-09,-0.19148928150344585
7,10.0,26,689560.8613649257,32836.231493567895,689570.8613649257,689577.1518476158,3.126656325154491e-09,0.0018381103507070782,0.0018927635682727218,0.0004909753951166856,0.010470714864478087,67.84321748454559,21.744262891304267,261.03255618564435,33587442927.467445,24116.155605860433,417750.06876075995,810000000041761.4,-4.10828172107481,-1.2916301505233115e-08,0.3978741495314062,1.4710387963616945e-10,-0.17695922488455085
8,100.0,26,689787.4054942677,32847.01930925084,689797.4054942677,689803.6959769578,3.12130362695388e-10,0.000597260929676623,0.0009938459397540146,6.414054681868665e-05,0.003911159893492693,37.61947578504875,10.649151891757057,188.28827151276136,334617194618.7493,24206.76561248028,418449.70290612685,8100000000041763.0,-4.116782357583343,-1.291475562903711e-09,0.4049888338132743,1.486335688651471e-11,-0.10109538579103033
9,1000.0,26,690447.7964660262,32878.4664983822,690457.7964660262,690464.0869487163,3.105182773945293e-11,2.5375857588320884e-05,0.0012001599328652604,7.902040406925586e-05,0.005912110871986852,42.06458259390746,7.782828736671996,224.9227852823683,3227085987937.484,25100.043910454027,434876.7155859979,8.100000000004176e+16,-4.1075506962601445,-1.2826944492261529e-10,0.4399937343450442,1.5033660944999063e-12,-0.020809935202917712
10,10000.0,26,696426.2509741511,33163.15480829291,696436.2509741511,696442.5414568412,3.016081530715649e-12,1.16120267406885e-06,0.0012149714759618084,5.551213067733204e-05,0.006500302060844567,44.546976245433015,1.7017683812682736,458.4858445221097,23777698234859.645,34065.53451891863,2598164.873296623,8.100000000000417e+17,-3.9424925720817154,-1.2051521458769369e-11,0.6521350318995812,1.505628264177124e-13,-0.004306123216995883
11,100000.0,26,963054.8669430887,45859.75556871851,963064.8669430887,963071.1574257788,2.6131256049417823e-13,4.132763156698352e-07,0.0015663073759147467,6.58049869212589e-05,0.005930665805127462,163.37980045989016,40.06045854632644,448.4158533963812,64986766710264.74,124640.76011217588,25636724.037429478,8.100000000000045e+18,-3.1130027418081347,-8.469834410067344e-13,0.9042155519333048,1.330591042654172e-14,-0.0020839552445116425
12,1000000.0,26,4054756.082261146,193083.6229648165,4054766.082261146,4054772.372743836,1.8226739626020918e-15,3.581685701934631e-07,0.003784299624349657,0.0,0.040575240776052325,449.5284550470104,35.344475843855164,1671.9430702615919,79217625981502.89,1022499.7151380592,256036751.3009952,8.100000000000003e+19,-1.1074593821832115,-2.022875291904014e-15,0.3704245880805155,6.620541890790454e-16,-0.0006988759201074344
