iter,n,best_deg,best_bic,best_chi2dof,JB,JB_p,skew,excess_kurt,outlier_frac_gt3,R_hi_deg4,odd_even_ratio_raw_deg4,odd_even_ratio_evenproj_deg4
0,18,4,53.227941978147854,2.9827756298974637,0.6488825088312054,0.9574798728252213,0.3925700326978226,-0.4987301436168954,0.05555555555555555,0.018073304407534133,12.26952269841551,2.6834395080142507e-12
1,18,4,742.3396780908231,55.99137071548786,0.6728510817590616,0.9546342483703004,-0.0849834721954341,-0.9317971954739832,0.7222222222222222,0.022296073668656855,16.749450632111152,3.457603912298115e-11
2,18,4,2637.568820458153,201.77822782066707,3.1844016021290797,0.5274540343885457,-0.9861219424808043,0.5967603045363474,0.7777777777777778,0.02360530708731185,21.381227343236773,2.6437642525648726e-11
3,9,4,254.69961354346702,60.92837266419648,2.9806642474676437,0.5610663894888929,1.3176890487928763,1.0016088438169612,0.4444444444444444,0.04224438422358454,10.384038763477363,8.965858821145358e-10
4,9,4,3900.3119196637394,972.3314491942646,0.4355416678975639,0.979464944093909,-0.0773051402421137,-1.0665552535595264,0.7777777777777778,0.056066463950202226,14.926471995434207,6.549848670084791e-10
5,9,4,44859.49089137648,11212.12619212245,1.0503125395009323,0.902073395069224,-0.17490776391311444,-1.6366009089453695,1.0,0.009920477855296529,0.47036297695129614,6.844575165797624e-10
6,4,2,13813.770594779926,13809.611711696567,0.287565354786447,0.9906026637593651,-0.15442547321160896,-1.276715795160444,1.0,nan,nan,nan
7,4,1,65859.0486808155,32928.13804604663,0.3706829261456129,0.9848060354730999,0.34715276238885207,-1.3198626425264237,0.75,nan,nan,nan
8,4,2,65856.4254869779,65852.26660389453,0.34188780389178547,0.986952146427011,-0.04837770795987198,-1.4289734822035398,0.75,nan,nan,nan
9,4,2,65837.92417841007,65833.76529532671,0.42376987654575404,0.9804849423760326,-0.35208980007103086,-1.4306468292413366,1.0,nan,nan,nan
10,4,2,65739.2376950269,65735.07881194353,0.4754143745761046,0.9758498352129962,-0.4880775367182679,-1.3782625004188203,1.0,nan,nan,nan
