label,name,signature,cone_eps,cone_pres_frac,cone_total,cone_violations,cone_worst_below,cone_worst_at_iter
pTll_106_170,"all_pos_(5,0,0)","(5, 0, 0)",1e-09,1.0,12,0,0.0,-1
pTll_170_350,"all_pos_(5,0,0)","(5, 0, 0)",1e-09,1.0,12,0,0.0,-1
pTll_50_76,"all_pos_(5,0,0)","(5, 0, 0)",1e-09,1.0,12,0,0.0,-1
pTll_76_106,"all_pos_(5,0,0)","(5, 0, 0)",1e-09,1.0,12,0,0.0,-1
phistar_50_76,"all_pos_(5,0,0)","(5, 0, 0)",1e-09,1.0,12,0,0.0,-1
pTll_106_170,"gauge_zero_(3,0,2)","(3, 0, 2)",1e-09,1.0,12,0,0.0,-1
pTll_170_350,"gauge_zero_(3,0,2)","(3, 0, 2)",1e-09,1.0,12,0,0.0,-1
pTll_50_76,"gauge_zero_(3,0,2)","(3, 0, 2)",1e-09,1.0,12,0,0.0,-1
pTll_76_106,"gauge_zero_(3,0,2)","(3, 0, 2)",1e-09,1.0,12,0,0.0,-1
phistar_50_76,"gauge_zero_(3,0,2)","(3, 0, 2)",1e-09,1.0,12,0,0.0,-1
pTll_106_170,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",1e-09,0.9,10,1,0.2041115836215986,9
pTll_170_350,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",1e-09,0.9,10,1,0.08138158325284037,9
pTll_50_76,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",1e-09,1.0,12,0,0.0,-1
pTll_76_106,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",1e-09,,0,0,0.0,-1
phistar_50_76,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",1e-09,1.0,12,0,0.0,-1
pTll_106_170,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",1e-09,1.0,2,0,0.0,-1
pTll_170_350,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",1e-09,1.0,2,0,0.0,-1
pTll_50_76,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",1e-09,,0,0,0.0,-1
pTll_76_106,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",1e-09,1.0,12,0,0.0,-1
phistar_50_76,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",1e-09,,0,0,0.0,-1
