label,name,signature,eps,Q_monotone_all,Q_monotone_frac,n_violations,worst_increase,worst_violation_iter
pTll_106_170,"all_pos_(5,0,0)","(5, 0, 0)",0.0,False,0.8333333333333334,2,0.01316308180441439,0
pTll_170_350,"all_pos_(5,0,0)","(5, 0, 0)",0.0,False,0.9166666666666666,1,0.0015453049459210888,0
pTll_50_76,"all_pos_(5,0,0)","(5, 0, 0)",0.0,False,0.8333333333333334,2,0.00560008612137608,0
pTll_76_106,"all_pos_(5,0,0)","(5, 0, 0)",0.0,False,0.3333333333333333,8,2.6650570368017554,7
phistar_50_76,"all_pos_(5,0,0)","(5, 0, 0)",0.0,False,0.6666666666666666,4,1.647729564721402,0
pTll_106_170,"gauge_zero_(3,0,2)","(3, 0, 2)",0.0,False,0.8333333333333334,2,0.01316803546281875,0
pTll_170_350,"gauge_zero_(3,0,2)","(3, 0, 2)",0.0,False,0.9166666666666666,1,0.0015453619248617656,0
pTll_50_76,"gauge_zero_(3,0,2)","(3, 0, 2)",0.0,False,0.8333333333333334,2,0.005606504453339767,0
pTll_76_106,"gauge_zero_(3,0,2)","(3, 0, 2)",0.0,False,0.3333333333333333,8,2.6650570368017554,7
phistar_50_76,"gauge_zero_(3,0,2)","(3, 0, 2)",0.0,False,0.6666666666666666,4,1.6520914616455968,0
pTll_106_170,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",0.0,False,0.6666666666666666,4,0.20021956572852134,10
pTll_170_350,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",0.0,False,0.75,3,0.07992363664488207,10
pTll_50_76,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",0.0,False,0.8333333333333334,2,0.00664383555846193,0
pTll_76_106,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",0.0,False,0.6666666666666666,4,22.823831741588084,9
phistar_50_76,"one_neg_(4,1,0)_neg_b2","(4, 1, 0)",0.0,False,0.6666666666666666,4,1.537454319240311,0
pTll_106_170,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",0.0,False,0.3333333333333333,8,6.6549474217701965,8
pTll_170_350,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",0.0,False,0.25,9,21.47697482437903,8
pTll_50_76,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",0.0,False,0.16666666666666666,10,4.987635917528719,8
pTll_76_106,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",0.0,False,0.3333333333333333,8,2.7205559763122125,7
phistar_50_76,"one_neg_(4,1,0)_neg_b0","(4, 1, 0)",0.0,False,0.3333333333333333,8,39.09553290662778,9
