label,metric,closest_frac,closest_max_violation,closest_argmax,T_iter,beta_dim
pTll_106_170,L1,1.0,-0.1657229326844589,10,12,5
pTll_106_170,L2,1.0,-0.18652588548262627,12,12,5
pTll_106_170,MDL,1.0,-0.3523044081221575,10,12,5
pTll_170_350,L1,1.0,-0.22837116938849056,12,12,5
pTll_170_350,L2,1.0,-0.15687277500066188,12,12,5
pTll_170_350,MDL,1.0,-0.2955394789181819,10,12,5
pTll_50_76,L1,1.0,-0.34521717753856607,11,12,5
pTll_50_76,L2,1.0,-0.08166133929060582,11,12,5
pTll_50_76,MDL,1.0,-0.2940656892897052,10,12,5
pTll_76_106,L1,1.0,-0.2558749608098034,11,12,5
pTll_76_106,L2,1.0,-0.19875300537501214,11,12,5
pTll_76_106,MDL,1.0,-0.5274845195460153,12,12,5
phistar_50_76,L1,1.0,-0.31544769073061857,12,12,5
phistar_50_76,L2,1.0,-0.10206005063937577,12,12,5
phistar_50_76,MDL,1.0,-0.38903412267300874,12,12,5
