label,metric,fejer_set_frac,fejer_set_max_violation,fejer_set_argmax,T_iter,beta_dim
pTll_106_170,L1,1.0,-7.105427357601002e-15,12,12,5
pTll_106_170,L2,1.0,0.0,5,12,5
pTll_106_170,MDL,1.0,-7.105427357601002e-15,12,12,5
pTll_170_350,L1,1.0,-3.552713678800501e-15,12,12,5
pTll_170_350,L2,1.0,0.0,4,12,5
pTll_170_350,MDL,1.0,-3.552713678800501e-15,12,12,5
pTll_50_76,L1,1.0,-3.552713678800501e-15,12,12,5
pTll_50_76,L2,1.0,0.0,5,12,5
pTll_50_76,MDL,1.0,-3.552713678800501e-15,12,12,5
pTll_76_106,L1,1.0,-3.907985046680551e-14,12,12,5
pTll_76_106,L2,1.0,0.0,6,12,5
pTll_76_106,MDL,1.0,-3.907985046680551e-14,12,12,5
phistar_50_76,L1,1.0,-1.2789769243681803e-13,12,12,5
phistar_50_76,L2,1.0,0.0,6,12,5
phistar_50_76,MDL,1.0,-1.2789769243681803e-13,12,12,5
