label,metric,transinv_frac,worst_abs_err,n_trials
pTll_106_170,L1,1.0,5.329070518200751e-15,5000
pTll_106_170,L2,1.0,2.6645352591003757e-15,5000
pTll_106_170,MDL,1.0,5.329070518200751e-15,5000
pTll_170_350,L1,1.0,3.552713678800501e-15,5000
pTll_170_350,L2,1.0,1.7763568394002505e-15,5000
pTll_170_350,MDL,1.0,3.552713678800501e-15,5000
pTll_50_76,L1,1.0,3.552713678800501e-15,5000
pTll_50_76,L2,1.0,1.7763568394002505e-15,5000
pTll_50_76,MDL,1.0,3.552713678800501e-15,5000
pTll_76_106,L1,1.0,1.7763568394002505e-15,5000
pTll_76_106,L2,1.0,1.7763568394002505e-15,5000
pTll_76_106,MDL,1.0,2.220446049250313e-15,5000
phistar_50_76,L1,1.0,3.552713678800501e-15,5000
phistar_50_76,L2,1.0,3.552713678800501e-15,5000
phistar_50_76,MDL,1.0,3.552713678800501e-15,5000
