label,p,q,z,best_mask,best_descent_frac,best_max_violation,best_first_violation_iter
pTll_106_170,3,1,0,+++-,1.0,-0.9868255815184152,-1
pTll_106_170,1,3,0,-+--,1.0,-1.005460326948862,-1
pTll_106_170,2,2,0,-++-,1.0,-1.0054705251041351,-1
pTll_106_170,4,0,0,++++,0.08333333333333333,22.98783369922769,1
pTll_106_170,0,4,0,----,0.9166666666666666,5.192862023466555,9
pTll_106_170,3,0,1,+++0,0.8333333333333334,0.013174418481584826,1
pTll_106_170,0,3,1,-0--,1.0,-1.0093173727162164,-1
pTll_106_170,2,1,1,0++-,1.0,-0.9961480533112822,-1
pTll_106_170,1,2,1,-0+-,1.0,-1.0093275708714966,-1
pTll_106_170,2,0,2,+0+0,0.8333333333333334,0.009317372714216265,1
pTll_106_170,0,2,2,-00-,1.0,-1.0093224717938565,-1
pTll_106_170,1,1,2,00+-,1.0,-1.000005099078637,-1
pTll_170_350,3,1,0,+++-,1.0,-0.9984246138742686,-1
pTll_170_350,1,3,0,+---,1.0,-0.999090875600947,-1
pTll_170_350,2,2,0,+-+-,1.0,-0.9990909937114391,-1
pTll_170_350,4,0,0,++++,0.08333333333333333,22.99616233119586,1
pTll_170_350,0,4,0,----,0.9166666666666666,10.675703887518305,9
pTll_170_350,3,0,1,+++0,0.9166666666666666,0.0015753861257313596,1
pTll_170_350,0,3,1,0---,1.0,-1.0003331308643322,-1
pTll_170_350,2,1,1,0++-,1.0,-0.9996668691376679,-1
pTll_170_350,1,2,1,0-+-,1.0,-1.0003332489748278,-1
pTll_170_350,2,0,2,0++0,0.9166666666666666,0.0003331308623320873,1
pTll_170_350,0,2,2,0-0-,1.0,-1.00033318991958,-1
pTll_170_350,1,1,2,00+-,1.0,-1.0000000590562492,-1
pTll_50_76,3,1,0,+++-,1.0,-0.9944775674767267,-1
pTll_50_76,1,3,0,-+--,1.0,-1.006566181962354,-1
pTll_50_76,2,2,0,-++-,1.0,-1.0065792216054081,-1
pTll_50_76,4,0,0,++++,0.08333333333333333,22.99315050683793,1
pTll_50_76,0,4,0,----,0.9166666666666666,2.8003519836081328,9
pTll_50_76,3,0,1,+++0,0.75,0.0055224325232733126,1
pTll_50_76,0,3,1,-0--,1.0,-1.00604430724381,-1
pTll_50_76,2,1,1,0++-,1.0,-1.0005283945410692,-1
pTll_50_76,1,2,1,-+0-,1.0,-1.006572701783881,-1
pTll_50_76,2,0,2,+0+0,0.8333333333333334,0.00604430724181002,1
pTll_50_76,0,2,2,-00-,1.0,-1.006050827065339,-1
pTll_50_76,1,1,2,0+0-,1.0,-1.0005218747195421,-1
pTll_76_106,3,1,0,+++-,1.0,-0.9637061287873027,-1
pTll_76_106,1,3,0,-+--,1.0,-0.9603703019918032,-1
pTll_76_106,2,2,0,++--,1.0,-0.9628965378231075,-1
pTll_76_106,4,0,0,++++,0.08333333333333333,22.800313894848497,1
pTll_76_106,0,4,0,----,0.9166666666666666,3.5012978936281005,10
pTll_76_106,3,0,1,+++0,0.3333333333333333,4.064612113960196,1
pTll_76_106,0,3,1,-0--,1.0,-0.9983320866032509,-1
pTll_76_106,2,1,1,+0+-,1.0,-1.0016679133987494,-1
pTll_76_106,1,2,1,+0--,1.0,-1.0008583224345537,-1
pTll_76_106,2,0,2,+0+0,0.5833333333333334,0.1631906989125641,4
pTll_76_106,0,2,2,00--,1.0,-0.999595204518902,-1
pTll_76_106,1,1,2,+00-,1.0,-1.0012631179166513,-1
phistar_50_76,3,1,0,+++-,0.9166666666666666,0.64401492116283,1
phistar_50_76,1,3,0,+---,0.9166666666666666,0.5424685526012586,1
phistar_50_76,2,2,0,+-+-,0.9166666666666666,0.5337396756817389,1
phistar_50_76,4,0,0,++++,0.16666666666666666,22.899425142180544,1
phistar_50_76,0,4,0,----,0.8333333333333334,20.382232157160526,9
phistar_50_76,3,0,1,+++0,0.6666666666666666,1.6440149211628299,1
phistar_50_76,0,3,1,0---,1.0,-1.0507731842817931,-1
phistar_50_76,2,1,1,0++-,1.0,-0.949226815720207,-1
phistar_50_76,1,2,1,0-+-,1.0,-1.0595020612013044,-1
phistar_50_76,2,0,2,0++0,0.6666666666666666,0.050773184279793084,1
phistar_50_76,0,2,2,0-0-,1.0,-1.055137622741549,-1
phistar_50_76,1,1,2,00+-,1.0,-1.0043644384607557,-1
