p,q,z,n_labels,best_descent_frac_min,best_descent_frac_mean,best_max_violation_max,best_max_violation_mean
1,2,1,5,1.0,1.0,-1.0003332489748278,-1.0153187810532127
1,1,2,5,1.0,1.0,-1.0000000590562492,-1.001230917846367
0,2,2,5,1.0,1.0,-0.999595204518902,-1.0140878632078454
0,3,1,5,1.0,1.0,-0.9983320866032509,-1.0129600163418806
2,1,1,5,1.0,1.0,-0.949226815720207,-0.9894476092217952
2,2,0,5,0.9166666666666666,0.9833333333333334,0.5337396756817389,-0.6880595205124702
1,3,0,5,0.9166666666666666,0.9833333333333334,0.5424685526012586,-0.6858038267805415
3,1,0,5,0.9166666666666666,0.9833333333333334,0.64401492116283,-0.6598837940987766
0,4,0,5,0.8333333333333334,0.9,20.382232157160526,8.510489589076323
2,0,2,5,0.5833333333333334,0.7666666666666667,0.1631906989125641,0.045931738802143116
3,0,1,5,0.3333333333333333,0.7,4.064612113960196,1.1457798544507232
4,0,0,5,0.08333333333333333,0.1,22.99616233119586,22.935377114858106
