label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
pTll_106_170,3,1,0,-+++,0.0,23.66410022091088,1
pTll_106_170,3,1,0,+-++,0.0,23.003850335396475,1
pTll_106_170,3,1,0,++-+,0.08333333333333333,22.98783369922769,1
pTll_106_170,3,1,0,+++-,1.0,-0.9868255815184152,-1
pTll_106_170,1,3,0,---+,0.0,39.192862023466546,1
pTll_106_170,1,3,0,--+-,0.9166666666666666,5.192862023466555,9
pTll_106_170,1,3,0,-+--,1.0,-1.005460326948862,-1
pTll_106_170,1,3,0,+---,1.0,-0.9945294748978649,-1
pTll_106_170,2,2,0,--++,0.0,39.192862023466546,1
pTll_106_170,2,2,0,-+-+,0.0,23.66410022091088,1
pTll_106_170,2,2,0,-++-,1.0,-1.0054705251041351,-1
pTll_106_170,2,2,0,+--+,0.0,23.003850335396475,1
pTll_106_170,2,2,0,+-+-,1.0,-0.9945396730531381,-1
pTll_106_170,2,2,0,++--,1.0,-0.9868153833631491,-1
pTll_106_170,4,0,0,++++,0.08333333333333333,22.98783369922769,1
pTll_106_170,0,4,0,----,0.9166666666666666,5.192862023466555,9
pTll_106_170,3,0,1,0+++,0.0,22.99199168191461,1
pTll_106_170,3,0,1,+0++,0.0,22.995842017312082,1
pTll_106_170,3,0,1,++0+,0.08333333333333333,22.98783369922769,1
pTll_106_170,3,0,1,+++0,0.8333333333333334,0.013174418481584826,1
pTll_106_170,0,3,1,---0,0.16666666666666666,22.192862023466553,3
pTll_106_170,0,3,1,--0-,0.9166666666666666,5.192862023466555,9
pTll_106_170,0,3,1,-0--,1.0,-1.0093173727162164,-1
pTll_106_170,0,3,1,0---,1.0,-1.0038519466907179,-1
pTll_106_170,2,1,1,-0++,0.0,31.42848112218871,1
pTll_106_170,2,1,1,-+0+,0.0,23.66410022091088,1
pTll_106_170,2,1,1,-++0,0.3333333333333333,6.664100220910871,3
pTll_106_170,2,1,1,0-++,0.0,26.28586606966756,1
pTll_106_170,2,1,1,0+-+,0.0,22.99199168191461,1
pTll_106_170,2,1,1,0++-,1.0,-0.9961480533112822,-1
pTll_106_170,2,1,1,+-0+,0.0,23.003850335396475,1
pTll_106_170,2,1,1,+-+0,0.6666666666666666,0.2002201983131812,1
pTll_106_170,2,1,1,+0-+,0.0,22.995842017312082,1
pTll_106_170,2,1,1,+0+-,1.0,-0.9906826272857837,-1
pTll_106_170,2,1,1,++-0,0.8333333333333334,0.013184616636850865,1
pTll_106_170,2,1,1,++0-,1.0,-0.9868204824407821,-1
pTll_106_170,1,2,1,--0+,0.0,39.192862023466546,1
pTll_106_170,1,2,1,--+0,0.16666666666666666,22.192862023466553,3
pTll_106_170,1,2,1,-0-+,0.0,31.42848112218871,1
pTll_106_170,1,2,1,-0+-,1.0,-1.0093275708714966,-1
pTll_106_170,1,2,1,-+-0,0.3333333333333333,6.664100220910871,3
pTll_106_170,1,2,1,-+0-,1.0,-1.0054654260264986,-1
pTll_106_170,1,2,1,0--+,0.0,26.28586606966756,1
pTll_106_170,1,2,1,0-+-,1.0,-1.0038621448459981,-1
pTll_106_170,1,2,1,0+--,1.0,-0.996137855156002,-1
pTll_106_170,1,2,1,+--0,0.6666666666666666,0.2002201983131812,1
pTll_106_170,1,2,1,+-0-,1.0,-0.9945345739755015,-1
pTll_106_170,1,2,1,+0--,1.0,-0.9906724291305035,-1
pTll_106_170,2,0,2,00++,0.0,22.999999999999,1
pTll_106_170,2,0,2,0+0+,0.0,22.99199168191461,1
pTll_106_170,2,0,2,0++0,0.4166666666666667,0.05401445855203422,1
pTll_106_170,2,0,2,+00+,0.0,22.995842017312082,1
pTll_106_170,2,0,2,+0+0,0.8333333333333334,0.009317372714216265,1
pTll_106_170,2,0,2,++00,0.8333333333333334,0.013179517559217846,1
pTll_106_170,0,2,2,--00,0.16666666666666666,22.192862023466553,3
pTll_106_170,0,2,2,-0-0,0.16666666666666666,14.428481122188712,3
pTll_106_170,0,2,2,-00-,1.0,-1.0093224717938565,-1
pTll_106_170,0,2,2,0--0,0.5833333333333334,7.764380901276841,8
pTll_106_170,0,2,2,0-0-,1.0,-1.003857045768358,-1
pTll_106_170,0,2,2,00--,1.0,-0.9999949009233631,-1
pTll_106_170,1,1,2,-00+,0.0,31.42848112218871,1
pTll_106_170,1,1,2,-0+0,0.16666666666666666,14.428481122188712,3
pTll_106_170,1,1,2,-+00,0.3333333333333333,6.664100220910871,3
pTll_106_170,1,1,2,0-0+,0.0,26.28586606966756,1
pTll_106_170,1,1,2,0-+0,0.5833333333333334,7.764380901276841,8
pTll_106_170,1,1,2,00-+,0.0,22.999999999999,1
pTll_106_170,1,1,2,00+-,1.0,-1.000005099078637,-1
pTll_106_170,1,1,2,0+-0,0.4166666666666667,0.05401445855203422,1
pTll_106_170,1,1,2,0+0-,1.0,-0.9961429542336421,-1
pTll_106_170,1,1,2,+-00,0.6666666666666666,0.2002201983131812,1
pTll_106_170,1,1,2,+0-0,0.8333333333333334,0.009327570869496515,1
pTll_106_170,1,1,2,+00-,1.0,-0.9906775282081436,-1
pTll_170_350,3,1,0,-+++,0.0,38.477018929967805,1
pTll_170_350,3,1,0,+-++,0.08333333333333333,23.0014425274726,1
pTll_170_350,3,1,0,++-+,0.08333333333333333,22.99616233119586,1
pTll_170_350,3,1,0,+++-,1.0,-0.9984246138742686,-1
pTll_170_350,1,3,0,---+,0.0,44.675703887518296,1
pTll_170_350,1,3,0,--+-,0.9166666666666666,10.675703887518305,9
pTll_170_350,1,3,0,-+--,0.9166666666666666,4.477018929967807,9
pTll_170_350,1,3,0,+---,1.0,-0.999090875600947,-1
pTll_170_350,2,2,0,--++,0.0,44.675703887518296,1
pTll_170_350,2,2,0,-+-+,0.0,38.477018929967805,1
pTll_170_350,2,2,0,-++-,0.9166666666666666,4.477018929967807,9
pTll_170_350,2,2,0,+--+,0.08333333333333333,23.0014425274726,1
pTll_170_350,2,2,0,+-+-,1.0,-0.9990909937114391,-1
pTll_170_350,2,2,0,++--,1.0,-0.9984244957637766,-1
pTll_170_350,4,0,0,++++,0.08333333333333333,22.99616233119586,1
pTll_170_350,0,4,0,----,0.9166666666666666,10.675703887518305,9
pTll_170_350,3,0,1,0+++,0.0,22.997359901860616,1
pTll_170_350,3,0,1,+0++,0.08333333333333333,22.998802429334244,1
pTll_170_350,3,0,1,++0+,0.08333333333333333,22.99616233119586,1
pTll_170_350,3,0,1,+++0,0.9166666666666666,0.0015753861257313596,1
pTll_170_350,0,3,1,---0,0.08333333333333333,27.675703887518303,2
pTll_170_350,0,3,1,--0-,0.9166666666666666,10.675703887518305,9
pTll_170_350,0,3,1,-0--,0.9166666666666666,7.576361408743049,9
pTll_170_350,0,3,1,0---,1.0,-1.0003331308643322,-1
pTll_170_350,2,1,1,-0++,0.0,41.57636140874305,1
pTll_170_350,2,1,1,-+0+,0.0,38.477018929967805,1
pTll_170_350,2,1,1,-++0,0.25,21.477018929967816,2
pTll_170_350,2,1,1,0-++,0.0,23.002640098137388,1
pTll_170_350,2,1,1,0+-+,0.0,22.997359901860616,1
pTll_170_350,2,1,1,0++-,1.0,-0.9996668691376679,-1
pTll_170_350,2,1,1,+-0+,0.08333333333333333,23.0014425274726,1
