label,metric,fejer_set_all,fejer_set_frac,worst_violation,worst_y_idx,worst_t_idx,n_y,T_iter
pTll_106_170,L1,0,0.474609375,0.0033799795067093186,377,0,512,12
pTll_106_170,L2,0,0.0,0.0009721842117205171,123,0,512,12
pTll_170_350,L1,0,0.486328125,0.0003364992960861457,227,0,512,12
pTll_170_350,L2,0,0.0,0.0001060492312277006,377,0,512,12
pTll_50_76,L1,0,0.50390625,0.0026025359993049335,123,0,512,12
pTll_50_76,L2,0,0.0,0.00045692315741607814,123,0,512,12
pTll_76_106,L1,0,0.490234375,0.0024901535999140023,377,1,512,12
pTll_76_106,L2,0,0.0,0.22560837313163784,352,7,512,12
phistar_50_76,L1,0,0.0,0.08666186989658442,93,0,512,12
phistar_50_76,L2,0,0.0,0.09557413305628515,123,0,512,12
