p,q,z,mask,descent_frac_min,descent_frac_mean,max_violation_max,max_violation_mean,cone_frac_min,cone_frac_mean,n_labels
1,0,3,"0,1,0,0",1.0,1.0,-1.4233725527766602e-27,-3.2702567621413897e-25,0.0,0.0,5
1,2,1,"-1,-1,0,1",0.9166666666666666,0.9833333333333332,1.0897407271448651,0.2169050291354596,0.0,0.06666666666666667,5
1,1,2,"-1,0,0,1",0.9166666666666666,0.9833333333333332,1.0897407271448651,0.21690502788570445,0.0,0.06666666666666667,5
2,1,1,"-1,1,0,1",0.9166666666666666,0.9833333333333332,1.0897407271448651,0.2169050266359493,0.0,0.0,5
3,1,0,"1,-1,1,1",0.8333333333333334,0.8666666666666666,10.98873690704401,10.833007713257981,0.0,0.0,5
3,0,1,"1,0,1,1",0.8333333333333334,0.8666666666666666,10.98873690704401,10.833007713257981,0.0,0.0,5
4,0,0,"1,1,1,1",0.8333333333333334,0.8666666666666666,10.98873690704401,10.833007713257981,0.0,0.0,5
2,1,1,"0,-1,1,1",0.75,0.8333333333333333,10.992574606690248,10.897631009552388,0.0,0.0,5
2,0,2,"0,0,1,1",0.75,0.8333333333333333,10.992574606690248,10.897631009552388,0.0,0.0,5
3,0,1,"0,1,1,1",0.75,0.8333333333333333,10.992574606690248,10.897631009552388,0.0,0.0,5
2,0,2,"0,1,0,1",0.6666666666666666,0.9333333333333333,1.5058187380956838,0.29960698878241915,0.0,0.0,5
1,0,3,"0,0,0,1",0.6666666666666666,0.9333333333333333,1.5101806350198785,0.30047937664433133,0.0,0.0,5
1,1,2,"0,-1,0,1",0.6666666666666666,0.9333333333333333,1.5145425319440733,0.30135176450624357,0.0,0.016666666666666666,5
3,0,1,"1,1,0,1",0.6666666666666666,0.9333333333333333,3.1579101997412806,0.6303230278478906,0.0,0.0,5
2,0,2,"1,0,0,1",0.6666666666666666,0.9333333333333333,3.162272096665504,0.6311954368144853,0.0,0.0,5
2,1,1,"1,-1,0,1",0.6666666666666666,0.9333333333333333,3.16663399358967,0.6320678457810572,0.0,0.0,5
2,1,1,"1,-1,1,0",0.6666666666666666,0.7666666666666667,10.996162300353763,10.935376703705591,0.0,0.0,5
2,0,2,"1,0,1,0",0.6666666666666666,0.7666666666666667,10.996162300353763,10.935376703705591,0.0,0.0,5
3,0,1,"1,1,1,0",0.6666666666666666,0.7666666666666667,10.996162300353763,10.935376703705591,0.0,0.0,5
0,1,3,"0,-1,0,0",0.5833333333333334,0.65,0.004361896924198522,0.0009552113245765591,0.0,0.06666666666666667,5
2,2,0,"-1,-1,1,1",0.5833333333333334,0.7666666666666667,10.996412306336484,10.9622543058468,0.0,0.0,5
2,1,1,"-1,0,1,1",0.5833333333333334,0.7666666666666667,10.996412306336484,10.9622543058468,0.0,0.0,5
3,1,0,"-1,1,1,1",0.5833333333333334,0.7666666666666667,10.996412306336484,10.9622543058468,0.0,0.0,5
2,2,0,"-1,1,-1,1",0.5,0.55,10.995794342870084,10.899635498140295,0.0,0.06666666666666667,5
1,2,1,"-1,0,-1,1",0.5,0.55,10.995794399849032,10.900590709464868,0.0,0.06666666666666667,5
1,3,0,"-1,-1,-1,1",0.5,0.55,10.995794456827966,10.901545920789443,0.0,0.06666666666666667,5
1,1,2,"0,1,-1,0",0.5,0.5,10.999999943021063,10.999044788675425,0.0,0.06666666666666667,5
0,1,3,"0,0,-1,0",0.5,0.5,11.0,11.0,0.0,0.06666666666666667,5
1,1,2,"0,-1,1,0",0.5,0.5,11.0,11.0,0.0,0.0,5
1,0,3,"0,0,1,0",0.5,0.5,11.0,11.0,0.0,0.0,5
2,0,2,"0,1,1,0",0.5,0.5,11.0,11.0,0.0,0.0,5
0,2,2,"0,-1,-1,0",0.5,0.5,11.004361896924198,11.000955211324575,0.0,0.06666666666666667,5
2,1,1,"0,1,-1,1",0.5,0.55,12.505818738095684,11.24435076413617,0.0,0.06666666666666667,5
1,1,2,"0,0,-1,1",0.5,0.55,12.510180635019879,11.245305975460745,0.0,0.06666666666666667,5
1,2,1,"0,-1,-1,1",0.5,0.55,12.514542531944073,11.24626118678532,0.0,0.06666666666666667,5
2,1,1,"1,1,-1,0",0.5,0.5166666666666667,12.647729564721402,11.343760054671298,0.0,0.06666666666666667,5
1,1,2,"1,0,-1,0",0.5,0.5166666666666667,12.652091461645597,11.344715265995875,0.0,0.06666666666666667,5
1,2,1,"1,-1,-1,0",0.5,0.5166666666666667,12.656453358569792,11.34567047732045,0.0,0.06666666666666667,5
3,1,0,"1,1,-1,1",0.5,0.55,14.15791019974128,11.589066030132045,0.0,0.06666666666666667,5
2,1,1,"1,0,-1,1",0.5,0.55,14.16227209666549,11.590021241456624,0.0,0.06666666666666667,5
2,2,0,"1,-1,-1,1",0.5,0.55,14.16663399358967,11.5909764527812,0.0,0.06666666666666667,5
2,2,0,"1,-1,1,-1",0.4166666666666667,0.45,28.056849883595365,21.063998047510808,0.0,0.0,5
2,1,1,"1,0,1,-1",0.4166666666666667,0.45,28.056849883595365,21.063998047510808,0.0,0.0,5
3,1,0,"1,1,1,-1",0.4166666666666667,0.45,28.056849883595365,21.063998047510808,0.0,0.0,5
1,2,1,"-1,-1,1,0",0.4166666666666667,0.4833333333333334,46.38299399511861,32.11442916348361,0.0,0.0,5
1,1,2,"-1,0,1,0",0.4166666666666667,0.4833333333333334,46.38299399511861,32.11442916348361,0.0,0.0,5
2,1,1,"-1,1,1,0",0.4166666666666667,0.4833333333333334,46.38299399511861,32.11442916348361,0.0,0.0,5
1,2,1,"0,-1,1,-1",0.4166666666666667,0.45,52.348678500569584,45.602578479256216,0.0,0.0,5
1,1,2,"0,0,1,-1",0.4166666666666667,0.45,52.348678500569584,45.602578479256216,0.0,0.0,5
2,1,1,"0,1,1,-1",0.4166666666666667,0.45,52.348678500569584,45.602578479256216,0.0,0.0,5
1,3,0,"-1,-1,1,-1",0.4166666666666667,0.45,91.7316724956882,71.91700764273983,0.0,0.0,5
1,2,1,"-1,0,1,-1",0.4166666666666667,0.45,91.7316724956882,71.91700764273983,0.0,0.0,5
2,2,0,"-1,1,1,-1",0.4166666666666667,0.45,91.7316724956882,71.91700764273983,0.0,0.0,5
1,1,2,"1,-1,0,0",0.3333333333333333,0.7166666666666667,2.6650570368017625,0.8683683452363766,0.0,0.0,5
1,0,3,"1,0,0,0",0.3333333333333333,0.7166666666666667,2.6650570368017625,0.8674936800576774,0.0,0.0,5
2,0,2,"1,1,0,0",0.3333333333333333,0.7166666666666667,2.6650570368017625,0.8666190148789781,0.0,0.0,5
1,3,0,"1,-1,-1,-1",0.16666666666666666,0.23333333333333334,18.056849883595365,13.99667739751032,0.0,0.06666666666666667,5
1,2,1,"1,0,-1,-1",0.16666666666666666,0.23333333333333334,18.056849883595365,13.995724471979605,0.0,0.06666666666666667,5
2,2,0,"1,1,-1,-1",0.16666666666666666,0.23333333333333334,18.056849883595365,13.994771546448892,0.0,0.06666666666666667,5
0,3,1,"-1,-1,-1,0",0.16666666666666666,0.2333333333333333,32.38299399511861,20.51442916348361,0.0,0.06666666666666667,5
0,2,2,"-1,0,-1,0",0.16666666666666666,0.2333333333333333,32.38299399511861,20.51442916348361,0.0,0.06666666666666667,5
1,2,1,"-1,1,-1,0",0.16666666666666666,0.2333333333333333,32.38299399511861,20.51442916348361,0.0,0.06666666666666667,5
0,2,2,"-1,-1,0,0",0.08333333333333333,0.2833333333333333,39.38299399511861,26.314429163483606,0.0,0.06666666666666667,5
0,1,3,"-1,0,0,0",0.08333333333333333,0.2833333333333333,39.38299399511861,26.314429163483606,0.0,0.06666666666666667,5
1,1,2,"-1,1,0,0",0.08333333333333333,0.2833333333333333,39.38299399511861,26.314429163483606,0.0,0.06666666666666667,5
0,3,1,"0,-1,-1,-1",0.08333333333333333,0.16666666666666669,41.84757687779465,34.002578479256215,0.0,0.06666666666666667,5
0,2,2,"0,0,-1,-1",0.08333333333333333,0.16666666666666669,41.84757687779465,34.002578479256215,0.0,0.06666666666666667,5
1,2,1,"0,1,-1,-1",0.08333333333333333,0.16666666666666669,41.84757687779465,34.002578479256215,0.0,0.06666666666666667,5
