lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.032874665088064248e+00,8.271604938271605034e-01,8.257887517146774714e-01,1.875000000000000000e-01
1.000000000000000000e+00,1.071906158071533222e+00,7.283950617283950768e-01,7.026367931717726334e-01,2.000000000000000111e-01
2.000000000000000000e+00,1.052334577736321108e+00,8.024691358024691468e-01,8.010973936899862258e-01,4.500000000000000111e-01
3.000000000000000000e+00,1.032874665088064248e+00,8.271604938271605034e-01,8.257887517146778045e-01,4.874999999999999889e-01
4.000000000000000000e+00,1.009852614097932921e+00,8.518518518518518601e-01,8.516994360615760540e-01,4.500000000000000111e-01
5.000000000000000000e+00,1.074895933146287064e+00,7.654320987654320563e-01,7.648224356043288319e-01,4.749999999999999778e-01
6.000000000000000000e+00,9.352216176570833372e-01,4.074074074074073848e-01,3.889650967840269091e-01,5.250000000000000222e-01
7.000000000000000000e+00,1.053094611785752477e+00,8.024691358024691468e-01,8.023167200121933407e-01,1.749999999999999889e-01
8.000000000000000000e+00,1.022026027172151075e+00,8.395061728395061262e-01,8.388965096784026798e-01,3.499999999999999778e-01
9.000000000000000000e+00,1.097222633789519675e+00,6.913580246913579863e-01,6.913580246913579863e-01,2.250000000000000056e-01
