lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.073502017562407929e+00,7.575757575757575690e-01,7.493112947658402412e-01,9.375000000000000000e-02
1.000000000000000000e+00,1.011286827354249018e+00,6.060606060606060774e-01,5.142332415059687190e-01,1.562500000000000000e-01
2.000000000000000000e+00,1.073502017562407929e+00,7.575757575757575690e-01,7.493112947658401302e-01,5.312500000000000000e-01
3.000000000000000000e+00,1.073502017562407929e+00,7.575757575757575690e-01,7.493112947658401302e-01,3.750000000000000000e-01
4.000000000000000000e+00,1.011286827354249018e+00,8.484848484848485084e-01,8.448117539026629430e-01,4.687500000000000000e-01
5.000000000000000000e+00,1.090059658710783808e+00,7.272727272727272929e-01,7.272727272727272929e-01,3.437500000000000000e-01
6.000000000000000000e+00,6.816244336247836433e-01,4.242424242424242542e-01,2.442607897153351582e-01,5.000000000000000000e-01
7.000000000000000000e+00,1.040698437921573349e+00,8.181818181818182323e-01,8.172635445362719242e-01,6.250000000000000000e-02
8.000000000000000000e+00,1.011286827354249018e+00,8.484848484848485084e-01,8.448117539026629430e-01,3.125000000000000000e-01
9.000000000000000000e+00,1.090566849136756389e+00,6.060606060606060774e-01,6.060606060606060774e-01,6.250000000000000000e-02
