bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,-8.525726711420759107e-01,2.370059009235943592e-01,4.666360178106849221e-01,-6.312843343124121542e-01,-8.135562104681615114e-01,2.588149441770122294e-01,0.000000000000000000e+00,-9.636735215978408098e-01,-7.841795835915120749e-01,9.626638647229622814e-01
1.000000000000000000e+00,-5.211981417234572422e-01,2.094960762609818783e-01,4.666360178106849221e-01,9.478958695478792995e-01,-8.135562104681615114e-01,8.331466950760526569e-01,-9.999092042625951082e-01,-8.741968595566206313e-01,-7.581613827572021291e-01,9.350001607562375971e-01
2.000000000000000000e+00,-2.826966300510497243e-01,6.749799882276022456e-02,3.299725963491386693e-01,6.973161297435173100e-01,-7.278048419509463018e-01,0.000000000000000000e+00,-9.999092042625951082e-01,-7.821862033245224888e-01,-6.952531164100583805e-01,9.278701919819063448e-01
3.000000000000000000e+00,-1.488227051408695656e-01,-2.322029049974656811e-02,6.100517928628662601e-01,-2.897931657221685109e-01,-7.612135978534214642e-01,-2.891108809346741304e-01,-9.999092042625951082e-01,-6.929538282306610952e-01,-7.804350332230715059e-01,9.075024687188611994e-01
4.000000000000000000e+00,-5.589091069743908763e-02,4.706486333403801098e-02,5.591486998231375294e-01,0.000000000000000000e+00,-8.006674042879183828e-01,-5.879261382626213006e-01,-9.999092042625951082e-01,-6.289828975857159055e-01,-7.686726410496517170e-01,8.735710009329015202e-01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.739273333880093197e-01,-4.423300014224313959e-01,-1.761783069762580256e-01,0.000000000000000000e+00,-5.879261382622433807e-01,-7.884005393784569993e-01,8.164425334043161619e-01
6.000000000000000000e+00,4.087762223783349830e-02,4.965532212440947751e-02,9.357613496461801850e-01,-4.400021768033171021e-01,2.935002516567060682e-01,-7.775852572867461565e-02,-9.999092042625951082e-01,-5.481869191887143167e-01,-5.250550318227428237e-01,7.493468489219564654e-01
7.000000000000000000e+00,9.387096737506847588e-02,1.194024250821760780e-01,-9.786108962873210637e-02,-1.767965743573073067e-01,-3.333174278772838561e-01,-4.208882902540454496e-01,0.000000000000000000e+00,-5.097744987697090391e-01,-2.113209687420471439e-01,6.817907659116476671e-01
8.000000000000000000e+00,1.344921132722130264e-01,2.364225240451947041e-01,9.906345384687121891e-01,-9.335177428782334696e-02,9.188422626378697222e-01,-5.051634390209691627e-01,-9.999092042625951082e-01,-4.726806097965908227e-01,-5.879261382620796228e-01,5.879261382624437760e-01
9.000000000000000000e+00,1.920090502489197604e-01,1.993527676036458696e-01,-8.947381980157752546e-01,1.090952517299995962e-02,8.890695787903619696e-01,-5.968716338641670838e-01,0.000000000000000000e+00,-4.368847316630881106e-01,-6.127632032546419527e-01,4.301887724440812688e-01
1.000000000000000000e+01,2.396587015109550578e-01,1.553875675403765255e-01,8.999425705785680796e-01,8.483620892859516927e-02,0.000000000000000000e+00,-6.538090722038275571e-01,-9.999092042625951082e-01,-3.855595811608364398e-01,-5.757595562751831597e-01,1.902172327239451122e-01
1.100000000000000000e+01,3.141212123651813681e-01,3.144398041724962289e-01,7.582308786172161641e-01,2.156482851595908912e-01,-5.569747031316044650e-01,-6.708388443483168651e-01,0.000000000000000000e+00,-3.213553173764798765e-01,-6.377656894170501412e-01,-1.850763157404580403e-02
1.200000000000000000e+01,3.851449416786532631e-01,2.483346269528784456e-01,-5.443719693427048201e-01,4.904589687435909062e-01,3.132763442602810033e-01,-3.893811260720971279e-01,-9.999092042625951082e-01,-2.616855926390794784e-01,-3.948711724762868913e-01,-1.269757976420286816e-01
1.300000000000000000e+01,4.293603826476021235e-01,4.642508008128091723e-01,9.985454730499855325e-01,6.803648734593850111e-01,9.926839417136619215e-01,-4.073702314702588173e-02,0.000000000000000000e+00,-2.062120534870670874e-01,4.456836558382507585e-01,-1.773024789032784099e-01
1.400000000000000000e+01,5.209056384889245717e-01,5.879261382619304088e-01,-6.424058827025095342e-01,6.980454966078133427e-01,4.800998988851190585e-01,1.795280046011844734e-03,-9.999092042625951082e-01,-1.422650142826666908e-01,-3.630226137009128773e-01,-1.521223357854804836e-01
1.500000000000000000e+01,5.879261382621441268e-01,6.099581718830737742e-01,9.630947466785505506e-01,6.985036865610693146e-01,5.879261382622343879e-01,2.924897996465405069e-03,0.000000000000000000e+00,-7.263640226463176364e-02,-6.915626321480110583e-01,-9.729683730885760329e-02
