lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,9.649629230074276975e-01,8.888888888888888395e-01,8.888888888888888395e-01,1.176470588235294101e-01
1.000000000000000000e+00,1.068820672826500839e+00,7.777777777777777901e-01,7.777777777777777901e-01,1.176470588235294101e-01
2.000000000000000000e+00,9.649629230074276975e-01,8.888888888888888395e-01,8.888888888888888395e-01,4.705882352941176405e-01
3.000000000000000000e+00,9.649629230074276975e-01,8.888888888888888395e-01,8.888888888888888395e-01,4.705882352941176405e-01
4.000000000000000000e+00,9.649629230074276975e-01,8.888888888888888395e-01,8.888888888888888395e-01,4.705882352941176405e-01
5.000000000000000000e+00,1.026330633294486372e+00,8.333333333333333703e-01,8.302469135802469369e-01,3.529411764705882582e-01
6.000000000000000000e+00,6.869615765973233756e-01,4.444444444444444198e-01,2.469135802469135943e-01,4.117647058823529216e-01
7.000000000000000000e+00,1.068820672826500839e+00,7.777777777777777901e-01,7.777777777777777901e-01,1.176470588235294101e-01
8.000000000000000000e+00,1.026330633294486372e+00,8.333333333333333703e-01,8.302469135802468259e-01,2.941176470588235392e-01
9.000000000000000000e+00,1.068820672826500839e+00,7.777777777777777901e-01,7.777777777777777901e-01,1.176470588235294101e-01
