bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,6.149759084537375076e-01,6.747244724623568946e-01,9.251442666583835628e-01,-9.819176031942514760e-01,-9.251442666583835628e-01,9.757341393160511300e-01,0.000000000000000000e+00,-9.673573199756260177e-01,-9.889854556343475878e-01,9.970225461494338637e-01
1.000000000000000000e+00,5.990289646879908281e-01,6.696912539402543052e-01,9.251442666583835628e-01,-9.921413705623418622e-01,-9.251442666583835628e-01,9.906776482862847955e-01,0.000000000000000000e+00,-8.681865250582688764e-01,-9.857769748794689146e-01,9.757237442113254611e-01
2.000000000000000000e+00,5.806816282266255014e-01,6.384588784488075541e-01,7.872251989327497812e-01,-8.925857165374128099e-01,-7.872251989327497812e-01,8.173697956874560466e-01,0.000000000000000000e+00,-7.569977258545876886e-01,-9.517629874341926310e-01,8.968167302439625788e-01
3.000000000000000000e+00,5.456555868707313461e-01,5.709916113176523034e-01,3.334507969567084285e-01,-5.101117816247244807e-01,-3.334507969567084285e-01,1.454900139794065572e-01,0.000000000000000000e+00,-6.454640105170603714e-01,-8.636482682251204190e-01,7.477445827906893383e-01
4.000000000000000000e+00,4.921243828893768213e-01,5.125468905344418014e-01,8.816230225010164290e-01,-1.221637390856687849e-01,-8.816230225010164290e-01,-3.448284397753077490e-01,0.000000000000000000e+00,-5.384163046216847714e-01,-8.268627551855001201e-01,5.879261382623337528e-01
5.000000000000000000e+00,4.420725752763060568e-01,4.535312806242149386e-01,-4.460809862443227969e-01,2.621650510010767876e-01,4.460809862443227969e-01,-6.171397968469538586e-01,-9.999092042625951082e-01,-4.379767871824911118e-01,-3.567628708965412954e-01,4.474538206912179739e-01
6.000000000000000000e+00,3.698470885347474590e-01,3.396278607145684081e-01,-6.643081613411752073e-01,4.514939329831371695e-01,6.643081613411752073e-01,-4.378121898185224348e-01,-9.999092042625951082e-01,-3.338224441601612136e-01,3.730311354346518837e-01,3.256727938826973756e-01
7.000000000000000000e+00,2.738971399114635830e-01,2.214044414915524173e-01,1.200744285652310672e-01,5.075740762998925959e-01,-1.200744285652310672e-01,-3.676576368054165211e-01,-9.999092042625951082e-01,-2.291179485969277729e-01,5.217235846109705491e-03,2.094536833407498466e-01
8.000000000000000000e+00,1.153645308205478864e-01,9.732243229954919139e-02,-3.990504132153095407e-01,6.454455181048104340e-01,3.990504132153095407e-01,-1.454900139794066405e-01,-9.999092042625951082e-01,-8.396932752976940528e-02,1.214181149951723132e-01,7.282219150442598155e-02
9.000000000000000000e+00,-1.153645308205478864e-01,-9.732243229954919139e-02,-9.225130632631588501e-01,5.964429974073983676e-01,9.225130632631588501e-01,-2.339328094170228800e-01,-9.999092042625951082e-01,8.396932752976940528e-02,3.135426925642728069e-01,-7.282219150442598155e-02
1.000000000000000000e+01,-3.750971341995184560e-01,-2.496002353204961888e-01,7.626307254121993395e-01,1.221637390856687849e-01,-7.626307254121993395e-01,-5.662149796401522162e-01,0.000000000000000000e+00,2.344332582286711986e-01,3.936731573730121170e-01,-2.094536833407498466e-01
1.100000000000000000e+01,-5.950775486319485053e-01,-4.179262102497915410e-01,-9.942195146576762177e-01,2.729228235404815850e-01,9.942195146576762177e-01,-6.088220453323142101e-01,-9.999092042625951082e-01,3.739343625546915351e-01,8.662937368678038652e-01,-3.256727938826973756e-01
1.200000000000000000e+01,-7.837133856748038641e-01,-6.043605448900202237e-01,-1.200744285652310672e-01,-5.792769045565868691e-01,1.200744285652310672e-01,2.540995553006115681e-01,0.000000000000000000e+00,4.960258798664620161e-01,7.319162084702703908e-01,-4.474538206912179739e-01
1.300000000000000000e+01,-9.222604933086447909e-01,-7.216977819667256266e-01,-4.993920829138570605e-01,-9.517882897950444843e-01,4.993920829138570605e-01,9.256551902761277484e-01,0.000000000000000000e+00,6.333910065717811566e-01,3.149837319616771159e-01,-5.879261382623337528e-01
1.400000000000000000e+01,-9.855797529180005956e-01,-8.399943518294806788e-01,-3.850548603980990525e-01,-9.614044924839229012e-01,3.850548603980990525e-01,9.422669607318870932e-01,0.000000000000000000e+00,7.703619490016442306e-01,3.700521405171515177e-01,-7.477445827906893383e-01
1.500000000000000000e+01,-9.992752002652741661e-01,-9.313335152279714757e-01,-7.244909791219416029e-01,9.999051303846933081e-01,7.244909791219416029e-01,9.998330365381432605e-01,-9.999092042625951082e-01,8.908495210652950247e-01,-5.217235846109705491e-03,-8.968167302439625788e-01
1.600000000000000000e+01,-9.999092042625951082e-01,-9.705212441051762617e-01,4.712184944229745320e-01,-6.400139896922922844e-01,-4.712184944229745320e-01,3.549812169147621432e-01,0.000000000000000000e+00,9.586213717840299520e-01,-8.526492886333587595e-01,-9.757237442113254611e-01
1.700000000000000000e+01,-9.999092042625951082e-01,-9.777974651325734845e-01,4.712184944229745320e-01,2.556383312921817752e-01,-4.712184944229745320e-01,-6.220957989883185713e-01,-9.999092042625951082e-01,9.883192479631646155e-01,-9.657306893648228696e-01,-9.970225461494338637e-01
