lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,9.864183002366315733e-01,8.723849372384937517e-01,8.722093839782605329e-01,7.955338450802512673e-02
1.000000000000000000e+00,1.066309838475612448e+00,7.810320781032078497e-01,7.800030733977968422e-01,1.235170969993021617e-01
2.000000000000000000e+00,1.050639373042173252e+00,8.019525801952580579e-01,7.972821826570886117e-01,1.207257501744591760e-01
3.000000000000000000e+00,1.036635394075369643e+00,8.235704323570431917e-01,8.233131811806904121e-01,1.151430565247732046e-01
4.000000000000000000e+00,1.001271791999970073e+00,8.591352859135286124e-01,8.578203385016992533e-01,9.630146545708304084e-02
5.000000000000000000e+00,1.078897777526191870e+00,7.573221757322176062e-01,7.570420685912362391e-01,1.856245638520586105e-01
6.000000000000000000e+00,6.264060262756918629e-01,3.193863319386331945e-01,2.173787029094184919e-01,1.179344033496161903e-01
7.000000000000000000e+00,1.046897922994254548e+00,8.110181311018130890e-01,8.110176448046931830e-01,1.605024424284717463e-02
8.000000000000000000e+00,1.044978310062130600e+00,8.117154811715481255e-01,8.094668432897804689e-01,3.272854152128402139e-01
9.000000000000000000e+00,1.069338505167235498e+00,7.768479776847977414e-01,7.768479776847977414e-01,8.792742498255408379e-02
