lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.088899975345223758e+00,6.999999999999999556e-01,6.900000000000000577e-01,6.666666666666666297e-01
1.000000000000000000e+00,1.054920167986144186e+00,5.999999999999999778e-01,5.600000000000000533e-01,4.444444444444444198e-01
2.000000000000000000e+00,1.054920167986144186e+00,5.999999999999999778e-01,5.600000000000000533e-01,4.444444444444444198e-01
3.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.444444444444444198e-01
4.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,2.222222222222222099e-01
5.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,6.666666666666666297e-01
6.000000000000000000e+00,6.108643020548935043e-01,2.999999999999999889e-01,2.100000000000000200e-01,5.555555555555555802e-01
7.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,2.222222222222222099e-01
8.000000000000000000e+00,1.054920167986144186e+00,5.999999999999999778e-01,5.600000000000001643e-01,4.444444444444444198e-01
9.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,7.777777777777777901e-01
