bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,5.457218015317980564e-01,-9.263278473854236195e-01,9.623827917709577573e-01,-5.888832980021823094e-01,8.642709387596976267e-01,-5.731029585655144087e-01,0.000000000000000000e+00,-8.291207636791237956e-01,8.058980652992370208e-01,9.903291626579081575e-01
1.000000000000000000e+00,-7.276888690029755802e-01,7.614125725707293624e-01,9.623827917709577573e-01,-9.946255916316332213e-01,8.642709387596976267e-01,9.624588406285363718e-01,0.000000000000000000e+00,-6.825145608347629178e-01,6.228624889676226406e-01,-2.274598973918735556e-01
2.000000000000000000e+00,7.012756743900611101e-01,9.450577739147342227e-01,-9.931440215333563470e-01,4.163872344571926121e-01,9.744817029472797598e-01,5.377826446405483546e-02,0.000000000000000000e+00,-5.440450817439497211e-01,4.807925326881472977e-02,5.405828561524995690e-01
3.000000000000000000e+00,-1.278507553389410523e-01,-3.358555202446492083e-01,7.444386115216553579e-01,-6.301838933160237577e-01,2.796281132034865724e-01,-5.199967876099730324e-01,0.000000000000000000e+00,-3.896337392161736690e-01,-6.055266720120401347e-01,-5.879261382622303911e-01
4.000000000000000000e+00,-1.130814166330052356e-01,9.351070246504445960e-01,5.528524715118104949e-01,-3.362860675615665929e-01,-5.249616055288309352e-02,-6.964379190326948077e-01,9.999092042625951082e-01,-1.229371126429222721e-01,1.826522440260915370e-01,-6.208510414669781152e-01
5.000000000000000000e+00,6.609155610094579192e-01,9.292361102780717363e-01,-6.209202743357202792e-01,3.362860675615666484e-01,5.249616055288301719e-02,-5.377826446405502975e-02,0.000000000000000000e+00,1.229371126429222721e-01,1.728372831618803923e-02,6.208510414669781152e-01
6.000000000000000000e+00,6.135386961806748030e-01,1.497561565546928763e-01,-2.006938720612330140e-01,5.869673293428555594e-01,-4.410272246286694453e-01,3.082182416999064700e-01,0.000000000000000000e+00,3.630237021548200493e-01,-1.728372831618791780e-02,5.879261382622303911e-01
7.000000000000000000e+00,1.130814166330059017e-01,-1.497561565546927931e-01,3.617700022563766996e-03,8.562701412550182134e-01,-5.882337603577966201e-01,7.687177700926391966e-01,9.999092042625951082e-01,6.285999004273843394e-01,-5.697507513817287039e-01,-5.405828561524995690e-01
8.000000000000000000e+00,-5.610778701515198863e-01,-1.698112546238768061e-01,-3.617700022563766996e-03,9.734544601362830063e-01,-5.879261382626197463e-01,9.658052974360056275e-01,0.000000000000000000e+00,8.317160920210970865e-01,-6.297877756239981251e-01,2.274598973918735556e-01
9.000000000000000000e+00,-9.913091504403063192e-01,-1.799000759762891810e-01,-3.617700022563766996e-03,-5.629580482483456105e-01,-5.879261382626197463e-01,-6.023647145196988628e-01,9.999092042625951082e-01,9.839270728255922194e-01,-6.312850502878348813e-01,-9.903291626579081575e-01
