lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,3.333333333333333148e-01
1.000000000000000000e+00,1.004242473054076434e+00,5.714285714285713969e-01,4.897959183673469274e-01,3.333333333333333148e-01
2.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,5.000000000000000000e-01
3.000000000000000000e+00,1.078992207877583320e+00,5.714285714285713969e-01,5.714285714285713969e-01,6.666666666666666297e-01
4.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,3.333333333333333148e-01
5.000000000000000000e+00,1.004242473054076434e+00,5.714285714285713969e-01,4.897959183673469274e-01,8.333333333333333703e-01
6.000000000000000000e+00,5.982695885852572504e-01,2.857142857142856984e-01,2.040816326530612568e-01,5.000000000000000000e-01
7.000000000000000000e+00,1.004242473054076434e+00,8.571428571428570953e-01,8.571428571428570953e-01,3.333333333333333148e-01
8.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,3.333333333333333148e-01
9.000000000000000000e+00,1.078992207877583320e+00,5.714285714285713969e-01,5.714285714285713969e-01,3.333333333333333148e-01
