lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.054920167986144186e+00,5.999999999999999778e-01,5.600000000000000533e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,5.000000000000000000e-01
2.000000000000000000e+00,1.054920167986144186e+00,5.999999999999999778e-01,5.600000000000000533e-01,5.000000000000000000e-01
3.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,5.000000000000000000e-01
5.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,5.004024235381878682e-01,2.000000000000000111e-01,1.600000000000000588e-01,5.000000000000000000e-01
7.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,5.000000000000000000e-01
8.000000000000000000e+00,1.054920167986144186e+00,5.999999999999999778e-01,5.600000000000000533e-01,1.000000000000000000e+00
9.000000000000000000e+00,1.054920167986144186e+00,8.000000000000000444e-01,8.000000000000000444e-01,5.000000000000000000e-01
