lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,9.802805450117217934e-01,8.772826880934988525e-01,8.770900685693490129e-01,6.359649122807017885e-02
1.000000000000000000e+00,1.064198800122232003e+00,7.845142439737033957e-01,7.833852054332578474e-01,1.140350877192982393e-01
2.000000000000000000e+00,1.044379253775868710e+00,8.100803506208911209e-01,8.048508105760390219e-01,1.023391812865497019e-01
3.000000000000000000e+00,1.031853029735643856e+00,8.290723155588020088e-01,8.287900559236905940e-01,1.023391812865497019e-01
4.000000000000000000e+00,9.904683142407482155e-01,8.685171658144631435e-01,8.672360592286362246e-01,8.260233918128655206e-02
5.000000000000000000e+00,1.076184441782916057e+00,7.633308984660336360e-01,7.631382789418839074e-01,1.717836257309941494e-01
6.000000000000000000e+00,6.257189001673746365e-01,3.184806428049671290e-01,2.170507229635020852e-01,1.045321637426900596e-01
7.000000000000000000e+00,1.047056370037373174e+00,8.108108108108108558e-01,8.108108108108108558e-01,1.461988304093567170e-03
8.000000000000000000e+00,1.039342439275685814e+00,8.188458728999269409e-01,8.165915308236589842e-01,3.194444444444444198e-01
9.000000000000000000e+00,1.069944280315323404e+00,7.757487216946676867e-01,7.757487216946676867e-01,7.309941520467835852e-02
