bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,5.033856345296715551e-01,-7.317143588580193869e-01,-9.985505337381885838e-01,5.127781956111334694e-01,9.936645080963402155e-01,5.983777199556845200e-02,0.000000000000000000e+00,-9.774875336065017573e-01,9.942275824016040264e-01,9.752457424143999853e-01
1.000000000000000000e+00,4.057507950843298739e-01,6.609318735726007477e-01,-9.985505337381885838e-01,1.658420240979459892e-01,9.936645080963402155e-01,-5.336372056412607146e-01,0.000000000000000000e+00,-9.774875336065017573e-01,9.999092042625951082e-01,9.817578463571592362e-01
2.000000000000000000e+00,5.102278343415874717e-01,9.596704390064247914e-01,-9.987693197934003342e-01,5.344044144999929857e-01,9.944815456878417503e-01,1.083954423659882482e-01,0.000000000000000000e+00,-9.774875336065017573e-01,3.063671249006419406e-01,9.665526976284923855e-01
3.000000000000000000e+00,4.836699970563196338e-01,8.606035529125095618e-01,-9.961879519931354787e-01,4.479473615465022762e-01,9.856899138512883463e-01,-7.840968897329876619e-02,0.000000000000000000e+00,-9.774875336065017573e-01,2.990085601400819804e-01,9.644853622810425353e-01
4.000000000000000000e+00,5.446253165526246942e-01,9.848939845732622711e-01,-9.928609985585031827e-01,6.354895147965379243e-01,9.757604886845867576e-01,3.470397055174040402e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-5.134273731836275223e-01,9.621504337137232188e-01
5.000000000000000000e+00,5.804788646812532038e-01,8.812044821901441338e-01,-9.831835035460495531e-01,7.260899811180770991e-01,9.504092204722874859e-01,5.654841456307673209e-01,0.000000000000000000e+00,-9.774875336065017573e-01,9.991698789447047702e-01,9.594636220562102746e-01
6.000000000000000000e+00,5.816396389265884315e-01,2.501739041528999175e-01,-9.809146965117340189e-01,7.287604875624956735e-01,9.449091166356325955e-01,5.717837346708304347e-01,0.000000000000000000e+00,-9.774875336065017573e-01,9.676187017922098788e-01,9.525165439719500693e-01
7.000000000000000000e+00,5.587665400339089095e-01,6.288238788384976907e-02,-9.855961190328897947e-01,6.730877910188467483e-01,9.564079723789484788e-01,4.382624766025492447e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-4.065651569947288380e-01,9.453672351797840490e-01
8.000000000000000000e+00,5.497391579886967694e-01,1.058241972177472040e-01,-9.911235436754760597e-01,6.493620941339365293e-01,9.709072484582668139e-01,3.806781899018770177e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-4.028847635378295378e-01,9.371132253171866600e-01
9.000000000000000000e+00,5.280432180763345862e-01,-8.825089546634824755e-02,-9.943290079809963267e-01,5.884075933599697272e-01,9.800182882940026152e-01,2.339812476802587415e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-1.016418734436823901e-01,9.244734409577418655e-01
1.000000000000000000e+01,5.075732926715117443e-01,-1.955768829850926538e-01,-9.969230881506314645e-01,5.260704224020135156e-01,9.880509663388081787e-01,8.955135112066088532e-02,0.000000000000000000e+00,-9.774875336065017573e-01,-5.376780102491411917e-01,9.055493394460771839e-01
1.100000000000000000e+01,4.780559867362679793e-01,-1.877542655683139480e-02,-9.981510138765765650e-01,4.288568301185889942e-01,9.922204362042015280e-01,-1.168306851146171943e-01,0.000000000000000000e+00,-9.774875336065017573e-01,7.373658909090883284e-01,8.834829877762128136e-01
1.200000000000000000e+01,4.670203246189826851e-01,5.359925177734136126e-01,-9.986044371773236117e-01,3.906017264686269530e-01,9.938638765460714453e-01,-1.904951631971204540e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-3.794837889207018367e-01,8.680712783491496554e-01
1.300000000000000000e+01,4.735454710942836876e-01,1.446435110462521434e-01,-9.990106177536283161e-01,4.133337043685951784e-01,9.954099734179446823e-01,-1.472627813176577150e-01,0.000000000000000000e+00,-9.774875336065017573e-01,6.994063128289981224e-01,8.592337907079996562e-01
1.400000000000000000e+01,4.346937573807072575e-01,-1.598051779503722458e-01,-9.993028426109226148e-01,2.739838695362564192e-01,9.965846383278692544e-01,-3.871567255474758218e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-4.569653270909758702e-01,8.442932667439249084e-01
1.500000000000000000e+01,4.223093479248516413e-01,2.543472410550744883e-02,-9.996250688812085006e-01,2.279904882440123293e-01,9.979776518477679881e-01,-4.534572176222980699e-01,0.000000000000000000e+00,-9.774875336065017573e-01,1.925647931316176453e-01,8.363699815653057312e-01
1.600000000000000000e+01,3.934370878664696369e-01,2.755430432840722532e-01,-9.997177749072698738e-01,1.193897450170185726e-01,9.984092354916335177e-01,-5.869933819600545721e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-3.631959179780453462e-01,8.248835613739603501e-01
1.700000000000000000e+01,3.973045877085782940e-01,-1.468202602216864827e-01,-9.998472580486104100e-01,1.339873589339953264e-01,9.990532907254572326e-01,-5.708030994995166862e-01,0.000000000000000000e+00,-9.774875336065017573e-01,7.627617301992954957e-01,8.216529213622352223e-01
1.800000000000000000e+01,3.388113020242391471e-01,-4.938363011199602415e-01,-9.999092042625951082e-01,-8.409272735191883341e-02,9.994089349909478504e-01,-7.650776736145555867e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-2.285519671171700185e-01,8.048676646696804049e-01
1.900000000000000000e+01,3.159627675615593323e-01,9.471942171809250022e-02,-9.999092042625951082e-01,-1.655837844386271740e-01,9.996742357293958436e-01,-8.158615045626069762e-01,0.000000000000000000e+00,-9.774875336065017573e-01,2.434481077585718689e-01,7.930653279253405685e-01
2.000000000000000000e+01,2.988698358863405846e-01,-7.182471344946023128e-02,-9.999092042625951082e-01,-2.243370128456047830e-01,9.997902432488429136e-01,-8.467629904954311337e-01,0.000000000000000000e+00,-9.774875336065017573e-01,-2.921558520880291887e-01,7.877114935314616373e-01
2.100000000000000000e+01,2.635061953609697527e-01,-1.152687467942400124e-01,-9.999092042625951082e-01,-3.386040314772803539e-01,9.998625160113808752e-01,-8.954224345943782026e-01,0.000000000000000000e+00,-9.774875336065017573e-01,5.357488665295244701e-01,7.739051519334486651e-01
2.200000000000000000e+01,2.426904116167763470e-01,-6.079210301081088286e-01,-9.999092042625951082e-01,-4.007129357214894716e-01,9.999092042625951082e-01,-9.165142382773853180e-01,0.000000000000000000e+00,-9.774875336065017573e-01,8.656635311326592586e-01,7.630163136250192046e-01
2.300000000000000000e+01,1.625066860062513163e-01,-7.957236769581133018e-01,-9.999092042625951082e-01,-6.013702790032751100e-01,9.999092042625951082e-01,-9.648171976652071269e-01,0.000000000000000000e+00,-9.774875336065017573e-01,9.098920292279881750e-01,7.377793145331559277e-01
2.400000000000000000e+01,1.119908018583850584e-01,-9.442742836036366327e-01,-9.999092042625951082e-01,-6.972657320268739189e-01,9.999092042625951082e-01,-9.794917178582637218e-01,0.000000000000000000e+00,-9.774875336065017573e-01,9.989012353930522004e-01,7.250104701455045708e-01
2.500000000000000000e+01,-2.409829570960931103e-02,-9.967113784270550392e-01,-9.999092042625951082e-01,-8.627345677015036962e-01,9.999092042625951082e-01,-9.786246902968326333e-01,9.999092042625951082e-01,-9.774875336065017573e-01,9.994779600194615421e-01,6.811418613381720055e-01
