lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.044296608146461747e+00,8.139534883720930258e-01,8.134126554894537398e-01,2.857142857142856984e-01
1.000000000000000000e+00,1.084463206101583976e+00,7.441860465116278966e-01,7.441860465116278966e-01,2.857142857142856984e-01
2.000000000000000000e+00,1.094861422264490347e+00,6.279069767441860517e-01,6.273661438615467656e-01,5.238095238095238360e-01
3.000000000000000000e+00,1.084463206101583976e+00,7.441860465116278966e-01,7.441860465116278966e-01,3.809523809523809312e-01
4.000000000000000000e+00,1.083008769966332219e+00,6.046511627906976383e-01,5.959978366684693940e-01,4.047619047619047672e-01
5.000000000000000000e+00,1.094861422264490347e+00,6.744186046511627675e-01,6.695511087074093037e-01,4.047619047619047672e-01
6.000000000000000000e+00,6.600602334155767359e-01,3.720930232558139483e-01,2.336398053001622899e-01,3.571428571428571508e-01
7.000000000000000000e+00,1.044296608146461747e+00,8.139534883720930258e-01,8.134126554894537398e-01,2.619047619047619180e-01
8.000000000000000000e+00,1.088402225902276310e+00,6.744186046511627675e-01,6.608977825851812815e-01,4.761904761904761640e-01
9.000000000000000000e+00,1.024577922027303689e+00,8.372093023255814392e-01,8.372093023255814392e-01,2.857142857142856984e-01
