lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.004242473054076434e+00,8.571428571428570953e-01,8.571428571428570953e-01,6.666666666666666297e-01
1.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,6.666666666666666297e-01
2.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,6.666666666666666297e-01
3.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,6.666666666666666297e-01
4.000000000000000000e+00,1.078992207877583320e+00,5.714285714285713969e-01,5.714285714285713969e-01,6.666666666666666297e-01
5.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,6.666666666666666297e-01
6.000000000000000000e+00,4.101163182884089986e-01,1.428571428571428492e-01,1.224489795918367596e-01,1.666666666666666574e-01
7.000000000000000000e+00,1.004242473054076434e+00,8.571428571428570953e-01,8.571428571428570953e-01,3.333333333333333148e-01
8.000000000000000000e+00,1.078992207877583320e+00,7.142857142857143016e-01,6.938775510204081565e-01,6.666666666666666297e-01
9.000000000000000000e+00,1.004242473054076434e+00,8.571428571428570953e-01,8.571428571428570953e-01,6.666666666666666297e-01
