lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.048485442140980606e+00,8.076923076923077094e-01,8.062130177514793550e-01,8.000000000000000167e-02
1.000000000000000000e+00,1.073394281281126572e+00,7.692307692307692735e-01,7.692307692307692735e-01,8.000000000000000167e-02
2.000000000000000000e+00,1.097112894733380806e+00,6.538461538461538547e-01,6.523668639053255003e-01,5.999999999999999778e-01
3.000000000000000000e+00,1.015832174712108404e+00,8.461538461538461453e-01,8.461538461538461453e-01,2.800000000000000266e-01
4.000000000000000000e+00,1.088010262277111950e+00,6.538461538461538547e-01,6.405325443786982209e-01,4.400000000000000022e-01
5.000000000000000000e+00,1.088010262277111950e+00,7.307692307692307265e-01,7.292899408284024831e-01,3.200000000000000067e-01
6.000000000000000000e+00,6.901856760188042061e-01,4.615384615384615641e-01,2.485207100591715901e-01,4.000000000000000222e-01
7.000000000000000000e+00,1.048485442140980606e+00,8.076923076923077094e-01,8.062130177514793550e-01,8.000000000000000167e-02
8.000000000000000000e+00,1.088010262277111950e+00,6.538461538461538547e-01,6.405325443786982209e-01,3.599999999999999867e-01
9.000000000000000000e+00,1.015832174712108404e+00,8.461538461538461453e-01,8.461538461538461453e-01,8.000000000000000167e-02
