bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,5.885729491453843831e-01,9.717733703410120771e-01,-1.113727609767719597e-02,-5.072930249698290872e-01,-4.936290718061001059e-02,-9.297851578443898368e-02,9.999092042625951082e-01,-9.945820338499551383e-01,-8.400159825569635252e-01,9.884240716870453802e-01
1.000000000000000000e+00,7.666386894202232849e-01,9.599106661027749787e-01,-1.113727609767719597e-02,6.099966900290354488e-01,-4.936290718061001059e-02,3.095512592229823431e-02,0.000000000000000000e+00,-9.663136469559758801e-01,-5.330137425490500958e-01,9.623428220239842457e-01
2.000000000000000000e+00,7.655281239326319209e-01,8.853722856114067952e-01,-6.518283904215984581e-01,7.516517573934653473e-01,6.156257660532665765e-01,6.305831413322032786e-01,0.000000000000000000e+00,-9.224554759707750407e-01,5.914947076913762425e-01,9.264533650535040632e-01
3.000000000000000000e+00,7.315599433845665356e-01,7.894542961556731964e-01,3.551503379911540026e-02,7.588734476104093130e-01,-9.577629606796979334e-02,6.567297917734824519e-01,0.000000000000000000e+00,-8.675855363710003321e-01,3.239634752874371859e-01,8.552961105994522084e-01
4.000000000000000000e+00,6.891467518600139508e-01,7.092824382057770771e-01,1.113727609767719597e-02,6.802616153356110251e-01,-7.155602808964783845e-02,3.377383622475442215e-01,0.000000000000000000e+00,-8.049754356991508653e-01,4.007622295118897643e-02,7.558425795261926039e-01
5.000000000000000000e+00,6.413624422975074957e-01,6.265274511389925527e-01,-1.821358927049453180e-01,6.113809643954468687e-01,1.230238383946597180e-01,3.681229449338697945e-02,0.000000000000000000e+00,-7.372337991608316488e-01,-1.924637640495358362e-02,6.719400602212654006e-01
6.000000000000000000e+00,5.890006718026938870e-01,5.537295524763065080e-01,5.157338942131138859e-01,5.951489017994823216e-01,-5.587755040262920581e-01,-3.095512592229852575e-02,0.000000000000000000e+00,-6.664742757376148630e-01,-1.537289474712645598e-01,5.879261382624766386e-01
7.000000000000000000e+00,5.354024193184807601e-01,4.884049492612272392e-01,-2.000389847804489862e-01,5.456101497416421253e-01,1.412809426204114371e-01,-2.224013856592896576e-01,0.000000000000000000e+00,-5.943918089418475104e-01,1.924637640495358362e-02,5.067520332860097065e-01
8.000000000000000000e+00,4.792213443016495322e-01,4.035539997397110668e-01,1.805550919777251795e-01,4.703113783213898613e-01,-2.384190651245376713e-01,-4.590943197612825100e-01,0.000000000000000000e+00,-5.223179827776888162e-01,3.749976822900090434e-02,4.387539259163064087e-01
9.000000000000000000e+00,3.930898028708423864e-01,3.108846050073094669e-01,-1.095030004696639081e-01,4.024761665167113089e-01,4.936290718061001059e-02,-6.162553288266501283e-01,0.000000000000000000e+00,-4.163791250142481193e-01,-1.194794679242961316e-01,3.530124622392836753e-01
1.000000000000000000e+01,2.758561192321322686e-01,1.955533432015610085e-01,-3.810243904344513544e-01,1.866428555479619500e-01,3.281170633885225896e-01,-8.741614880198055326e-01,0.000000000000000000e+00,-2.825833159263005934e-01,-2.165743408126038494e-01,2.606683110044804574e-01
1.100000000000000000e+01,1.581017256349845912e-01,1.122419592137091360e-01,9.265409021589400274e-01,-5.078935847791567898e-02,-9.346443078247301806e-01,-8.943577877304453860e-01,9.999092042625951082e-01,-1.598989417936642343e-01,-4.970280883342988454e-01,1.540698418407015491e-01
1.200000000000000000e+01,5.064178258871215171e-02,6.231922597815110071e-02,9.379626423917347688e-02,-2.092077712409293466e-01,-1.533932238228570555e-01,-7.675239298001936827e-01,9.999092042625951082e-01,-4.932101423279095648e-02,-5.343835360869339524e-02,5.061725928988732026e-02
1.300000000000000000e+01,-5.064178258871256111e-02,-6.231922597815110071e-02,-9.860845123510424415e-01,-3.230574350392084737e-01,9.843074064384106370e-01,-5.968953030753136879e-01,9.999092042625951082e-01,4.932101423279095648e-02,8.518295627158596339e-01,-5.061725928988732026e-02
1.400000000000000000e+01,-1.501801691800164484e-01,-2.236535373722461639e-01,-9.894807354921307807e-01,-4.459870907674678975e-01,9.881347600925491914e-01,-2.951074996055948474e-01,9.999092042625951082e-01,1.368077891487061715e-01,-7.154892626174611525e-01,-1.540698418407015491e-01
1.500000000000000000e+01,-2.455937568019750661e-01,-1.240030647155152543e-01,9.999092042625951082e-01,-5.872134417135774775e-01,9.999092042625951082e-01,2.073775061958826049e-01,0.000000000000000000e+00,2.141884476984512176e-01,-8.447948255939620177e-01,-2.606683110044804574e-01
1.600000000000000000e+01,-3.119196479299258806e-01,-2.503053613070442274e-01,-9.999092042625951082e-01,-4.415405586109338865e-01,9.999092042625951082e-01,-3.084752487168419544e-01,9.999092042625951082e-01,2.825833159263009264e-01,9.971785317675424531e-01,-3.530124622392836753e-01
1.700000000000000000e+01,-3.968100442469955635e-01,-4.589425210594226257e-01,9.999092042625951082e-01,-5.886379232189320465e-01,9.999092042625951082e-01,2.129047603096752284e-01,0.000000000000000000e+00,3.430777446767659389e-01,8.545222009122328544e-01,-4.387539259163064087e-01
1.800000000000000000e+01,-4.773553153080630773e-01,-4.460654317869439112e-01,-9.693408985785715304e-01,-6.338425992872254167e-01,9.654626989856773811e-01,3.868463192907476422e-01,9.999092042625951082e-01,4.090976137828032377e-01,5.843345369364472131e-01,-5.067520332860097065e-01
1.900000000000000000e+01,-5.872785747049142913e-01,-6.201429625431479353e-01,-9.999092042625951082e-01,-6.873437386756762191e-01,9.999092042625951082e-01,5.788100442207219087e-01,9.999092042625951082e-01,4.964687137307678411e-01,9.724848037058531069e-01,-5.879261382624766386e-01
2.000000000000000000e+01,-7.007889382835520431e-01,-7.379666458142674079e-01,2.893616666399783099e-01,-8.223301802767902791e-01,-3.438129752010616325e-01,9.075618074826331538e-01,9.999092042625951082e-01,5.813844611966749731e-01,6.776598719976307805e-01,-6.719400602212654006e-01
2.100000000000000000e+01,-8.101685995092012815e-01,-7.942293049339487210e-01,3.458653001198811472e-01,-9.163439858960473750e-01,-3.980085225811058613e-01,9.885981132010225325e-01,9.999092042625951082e-01,6.736347085748608521e-01,6.482814398980286663e-01,-7.558425795261926039e-01
2.200000000000000000e+01,-9.246638126566149030e-01,-9.042391935879738885e-01,-9.996308039874244322e-01,9.998639961922939356e-01,9.995832920840125313e-01,9.999092042625951082e-01,0.000000000000000000e+00,7.978650856483693321e-01,7.687436059793686383e-01,-8.552961105994522084e-01
2.300000000000000000e+01,-9.783568444036607747e-01,-9.537729234623448793e-01,9.275902027617257684e-01,-9.681345260573347433e-01,-9.355817285565152241e-01,9.991776304838052569e-01,9.999092042625951082e-01,8.797658305695861269e-01,-2.342730427398146409e-01,-9.264533650535040632e-01
2.400000000000000000e+01,-9.944610973671516030e-01,-9.578537902258290604e-01,9.556790881354875200e-01,3.411290862923382350e-01,-9.606338872589432754e-01,-7.202445749434654987e-01,0.000000000000000000e+00,9.320371653038350690e-01,-8.988184600694214543e-01,-9.623428220239842457e-01
2.500000000000000000e+01,-9.997396173204547987e-01,-9.587077861874245821e-01,9.556790881354875200e-01,5.078935847791567898e-02,-9.606338872589432754e-01,-9.370563502410551582e-01,9.999092042625951082e-01,9.814127739985949450e-01,-9.133196799419004419e-01,-9.884240716870453802e-01
