signature,p,q,shell,ambient_dim,shell_point_count,orbit_count,largest_orbit,smallest_orbit,orbit_sizes
p1_q2,1,2,1,3,14,3,8,2,8;4;2
p1_q2,1,2,2,3,4,1,4,4,4
p2_q1,2,1,1,3,14,3,8,2,8;4;2
p2_q1,2,1,2,3,4,1,4,4,4
p3_q1,3,1,1,4,32,3,24,2,24;6;2
p3_q1,3,1,2,4,28,2,16,12,16;12
p4_q0,4,0,1,4,8,1,8,8,8
p4_q0,4,0,2,4,24,1,24,24,24
p2_q2,2,2,1,4,40,4,16,4,16;16;4;4
p2_q2,2,2,2,4,8,2,4,4,4;4
p1_q3,1,3,1,4,32,3,24,2,24;6;2
p1_q3,1,3,2,4,28,2,16,12,16;12
p0_q4,0,4,1,4,8,1,8,8,8
p0_q4,0,4,2,4,24,1,24,24,24
