label,count,min,median,mean,max,q10,q25,q75,q90
ptll_76_106_table,4,0.2034378752024586,0.21512855610939918,0.21465355181311846,0.2249192198312169,0.2053830372843033,0.20830078040707034,0.22148132751544733,0.22354406290490908
z_pt_7tev_atlas,4,0.8798600748332402,3.604926666677959e+21,3.768246176570781e+24,1.5065774852949768e+25,4.2569243761209235e+17,1.0642310940302308e+18,3.771850039006365e+24,1.0548204927372408e+25
pTll_76_106,4,1.0344847806672909e+17,1.434574445504161e+22,3.542863964878242e+23,1.3884539935927357e+24,1.5248103952827765e+19,3.796508716496931e+19,3.6859417585570083e+23,9.80510066497922e+23
ttbar_mtt_8tev_cms,4,3.3885358996512783e+18,2.7793299206853116e+23,1.571254965777418e+25,6.229432925842376e+25,9.18405889495021e+19,2.2451866852427832e+20,1.599025813117419e+25,4.377270080752394e+25
pTll_50_76,4,1.659386871194879e+19,1.3938065439864137e+24,2.952793196819108e+24,9.023543105434892e+24,7.658015755882994e+21,1.912014858663956e+22,4.3274795922188817e+24,7.145117700148489e+24
phistar_50_76,4,1.774060217814718e+19,5.225924166942267e+22,7.322184000857219e+22,1.8835113609326526e+23,2.60911723095663e+21,6.496182174124354e+21,1.1898489950387051e+23,1.6060464145750738e+23
pTll_106_170,4,2.5778045493744808e+19,1.1985089087097993e+24,2.149268578608619e+24,6.200030718969384e+24,9.466891683450394e+21,2.3628562140385365e+22,3.3241489251780326e+24,5.049678001452844e+24
hgg_pt_8tev_atlas,4,6.271522529598449e+19,1.2523062463160667e+25,3.3122114764157728e+25,1.0744227141508428e+26,1.8058862552513239e+22,4.5053083543339104e+22,4.560012414377506e+25,8.27054125065606e+25
atlas_4l_pt4l_8tev,4,4.6396334975098175e+21,6.133334896438668e+24,6.204027728633048e+24,1.2544801488157346e+25,5.637616597771485e+23,1.402444699196606e+24,1.093491792587511e+25,1.1900848063244452e+25
pTll_170_350,4,4.816902011436489e+21,3.7942420229309733e+24,3.784447314600233e+24,7.544488310527549e+24,5.1562188894051e+23,1.2818293693341203e+24,6.296859968197086e+24,7.045436973595365e+24
dijet_chi_7tev_cms,4,5.34851201941137e+21,2.9858986979542745e+25,3.4966717278789728e+25,8.0143546644054e+25,7.920952334090934e+24,1.979435806719822e+25,4.503134619113426e+25,6.609866646288611e+25
dijet_chi_13tev_cms_mgt6,4,7.648567272815058e+21,1.8865130335937346e+25,2.4667055336297657e+25,6.093031210604312e+25,6.58102435455849e+23,1.6337832377303997e+24,4.18984024345046e+25,5.331754823742772e+25
atlas_4l_m4l_8tev,4,1.0364223740980775e+22,1.7182314482924812e+25,1.874937909435482e+25,4.062252318782867e+25,1.2634966970886082e+24,3.143195407110049e+24,3.278849817016958e+25,3.748891318076504e+25
