pos_scale,cone_frac_min,cone_frac_mean,max_Q,Q_p99
0.05,1.0,1.0,-5.985488247744314e-12,-4.746114673984088e-11
0.06,1.0,1.0,-5.982711194506931e-12,-4.743912624356501e-11
0.07,1.0,1.0,-5.979934141269548e-12,-4.741710574728914e-11
0.08,1.0,1.0,-5.977157088032165e-12,-4.739508525101328e-11
0.09,1.0,1.0,-5.974380034794782e-12,-4.73730647547374e-11
0.1,1.0,1.0,-5.9716029815573994e-12,-4.7351044258461525e-11
0.11,1.0,1.0,-5.968825928320016e-12,-4.7329023762185656e-11
0.12,1.0,1.0,-5.9660488750826334e-12,-4.730700326590979e-11
0.13,1.0,1.0,-5.96327182184525e-12,-4.728498276963392e-11
0.14,1.0,1.0,-5.9604947686078674e-12,-4.726296227335805e-11
0.15,1.0,1.0,-5.957717715370484e-12,-4.724094177708218e-11
0.16,1.0,1.0,-5.954940662133101e-12,-4.7218921280806315e-11
0.17,1.0,1.0,-5.952163608895718e-12,-4.719690078453044e-11
0.18,1.0,1.0,-5.949386555658335e-12,-4.717488028825457e-11
0.19,1.0,1.0,-5.946609502420952e-12,-4.7152859791978703e-11
0.2,1.0,1.0,-5.943832449183569e-12,-4.7130839295702835e-11
0.21,0.75,0.9807692307692307,0.046180137330890325,0.042956420025675575
0.22,0.75,0.9807692307692307,0.1165538939351427,0.10954039354752301
0.23,0.5,0.9615384615384616,0.18692765053939508,0.17612436706937043
0.24,0.5,0.9615384615384616,0.25730140714364746,0.24270834059121787
0.25,0.5,0.9615384615384616,0.32767516374789984,0.3092923141130653
0.26,0.5,0.9615384615384616,0.3980489203521522,0.3758762876349127
0.27,0.5,0.9615384615384616,0.4684226769564046,0.4424602611567601
0.28,0.5,0.9615384615384616,0.5387964335606572,0.5090442346786078
0.29,0.5,0.9615384615384616,0.6091701901649094,0.575628208200455
0.3,0.5,0.9615384615384616,0.6795439467691615,0.6422121817223022
