variant_id,arrow_col,arrow_transform,eps,eps_arrow,jump_filter_frac,noise_std,noise_scale,resample_steps,resample_rep,threshold,overall_interval_start,overall_interval_end,overall_interval_len,n_labels
1,v_depth,rank,1e-12,1e-12,0.0,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
2,v_depth,rank,1e-12,1e-12,0.0,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
3,v_depth,rank,1e-12,1e-12,0.0,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
4,v_depth,rank,1e-12,1e-12,0.0,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
5,v_depth,rank,1e-12,1e-12,0.0,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
6,v_depth,rank,1e-12,1e-12,0.0,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
7,v_depth,rank,1e-12,1e-12,0.1,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
8,v_depth,rank,1e-12,1e-12,0.1,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
9,v_depth,rank,1e-12,1e-12,0.1,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
10,v_depth,rank,1e-12,1e-12,0.1,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
11,v_depth,rank,1e-12,1e-12,0.1,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
12,v_depth,rank,1e-12,1e-12,0.1,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
13,v_depth,rank,1e-12,1e-11,0.0,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
14,v_depth,rank,1e-12,1e-11,0.0,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
15,v_depth,rank,1e-12,1e-11,0.0,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
16,v_depth,rank,1e-12,1e-11,0.0,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
17,v_depth,rank,1e-12,1e-11,0.0,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
18,v_depth,rank,1e-12,1e-11,0.0,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
19,v_depth,rank,1e-12,1e-11,0.1,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
20,v_depth,rank,1e-12,1e-11,0.1,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
21,v_depth,rank,1e-12,1e-11,0.1,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
22,v_depth,rank,1e-12,1e-11,0.1,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
23,v_depth,rank,1e-12,1e-11,0.1,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
24,v_depth,rank,1e-12,1e-11,0.1,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
25,v_depth,rank,1e-11,1e-12,0.0,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
26,v_depth,rank,1e-11,1e-12,0.0,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
27,v_depth,rank,1e-11,1e-12,0.0,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
28,v_depth,rank,1e-11,1e-12,0.0,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
29,v_depth,rank,1e-11,1e-12,0.0,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
30,v_depth,rank,1e-11,1e-12,0.0,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
31,v_depth,rank,1e-11,1e-12,0.1,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
32,v_depth,rank,1e-11,1e-12,0.1,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
33,v_depth,rank,1e-11,1e-12,0.1,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
34,v_depth,rank,1e-11,1e-12,0.1,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
35,v_depth,rank,1e-11,1e-12,0.1,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
36,v_depth,rank,1e-11,1e-12,0.1,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
37,v_depth,rank,1e-11,1e-11,0.0,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
38,v_depth,rank,1e-11,1e-11,0.0,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
39,v_depth,rank,1e-11,1e-11,0.0,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
40,v_depth,rank,1e-11,1e-11,0.0,1e-06,rel,True,0,1.0,0.1,0.2,0.1,13
41,v_depth,rank,1e-11,1e-11,0.0,1e-06,rel,True,1,1.0,0.1,0.2,0.1,13
42,v_depth,rank,1e-11,1e-11,0.0,1e-06,rel,True,2,1.0,0.1,0.2,0.1,13
43,v_depth,rank,1e-11,1e-11,0.1,0.0,rel,True,0,1.0,0.1,0.2,0.1,13
44,v_depth,rank,1e-11,1e-11,0.1,0.0,rel,True,1,1.0,0.1,0.2,0.1,13
45,v_depth,rank,1e-11,1e-11,0.1,0.0,rel,True,2,1.0,0.1,0.2,0.1,13
