variant_id,label,arrow_col,arrow_transform,forward_mode,two_sided,eps,eps_arrow,jump_filter_frac,noise_std,noise_scale,resample_steps,resample_rep,threshold,interval_start,interval_end,interval_len
1,atlas_4l_m4l_8tev,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,atlas_4l_pt4l_8tev,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,dijet_chi_13tev_cms_mgt6,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,dijet_chi_7tev_cms,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,hgg_pt_8tev_atlas,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,pTll_106_170,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,pTll_170_350,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,pTll_50_76,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,pTll_76_106,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,phistar_50_76,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,ptll_76_106_table,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,ttbar_mtt_8tev_cms,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
1,z_pt_7tev_atlas,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,atlas_4l_m4l_8tev,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,atlas_4l_pt4l_8tev,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,dijet_chi_13tev_cms_mgt6,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,dijet_chi_7tev_cms,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,hgg_pt_8tev_atlas,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,pTll_106_170,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,pTll_170_350,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,pTll_50_76,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,pTll_76_106,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,phistar_50_76,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,ptll_76_106_table,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,ttbar_mtt_8tev_cms,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
2,z_pt_7tev_atlas,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,atlas_4l_m4l_8tev,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,atlas_4l_pt4l_8tev,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,dijet_chi_13tev_cms_mgt6,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,dijet_chi_7tev_cms,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,hgg_pt_8tev_atlas,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,pTll_106_170,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,pTll_170_350,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,pTll_50_76,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,pTll_76_106,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,phistar_50_76,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,ptll_76_106_table,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,ttbar_mtt_8tev_cms,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
3,z_pt_7tev_atlas,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,atlas_4l_m4l_8tev,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,atlas_4l_pt4l_8tev,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,dijet_chi_13tev_cms_mgt6,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,dijet_chi_7tev_cms,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,hgg_pt_8tev_atlas,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,pTll_106_170,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,pTll_170_350,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,pTll_50_76,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,pTll_76_106,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
4,phistar_50_76,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0
