keep_frac,label,n_forward,n_backward,n_forward_kept,n_backward_kept
1.0,atlas_4l_m4l_8tev,5,5,5,5
1.0,atlas_4l_pt4l_8tev,5,5,5,5
1.0,dijet_chi_13tev_cms_mgt6,5,5,5,5
1.0,dijet_chi_7tev_cms,5,5,5,5
1.0,hgg_pt_8tev_atlas,5,5,5,5
1.0,pTll_106_170,5,5,5,5
1.0,pTll_170_350,5,5,5,5
1.0,pTll_50_76,5,5,5,5
1.0,pTll_76_106,5,5,5,5
1.0,phistar_50_76,5,5,5,5
1.0,ptll_76_106_table,5,5,5,5
1.0,ttbar_mtt_8tev_cms,5,5,5,5
1.0,z_pt_7tev_atlas,5,5,5,5
0.9,atlas_4l_m4l_8tev,5,5,4,4
0.9,atlas_4l_pt4l_8tev,5,5,4,4
0.9,dijet_chi_13tev_cms_mgt6,5,5,4,4
0.9,dijet_chi_7tev_cms,5,5,4,4
0.9,hgg_pt_8tev_atlas,5,5,4,4
0.9,pTll_106_170,5,5,4,4
0.9,pTll_170_350,5,5,4,4
0.9,pTll_50_76,5,5,4,4
0.9,pTll_76_106,5,5,4,4
0.9,phistar_50_76,5,5,4,4
0.9,ptll_76_106_table,5,5,4,4
0.9,ttbar_mtt_8tev_cms,5,5,4,4
0.9,z_pt_7tev_atlas,5,5,4,4
0.8,atlas_4l_m4l_8tev,5,5,4,4
0.8,atlas_4l_pt4l_8tev,5,5,4,4
0.8,dijet_chi_13tev_cms_mgt6,5,5,4,4
0.8,dijet_chi_7tev_cms,5,5,4,4
0.8,hgg_pt_8tev_atlas,5,5,4,4
0.8,pTll_106_170,5,5,4,4
0.8,pTll_170_350,5,5,4,4
0.8,pTll_50_76,5,5,4,4
0.8,pTll_76_106,5,5,4,4
0.8,phistar_50_76,5,5,4,4
0.8,ptll_76_106_table,5,5,4,4
0.8,ttbar_mtt_8tev_cms,5,5,4,4
0.8,z_pt_7tev_atlas,5,5,4,4
0.7,atlas_4l_m4l_8tev,5,5,3,3
0.7,atlas_4l_pt4l_8tev,5,5,3,3
0.7,dijet_chi_13tev_cms_mgt6,5,5,3,3
0.7,dijet_chi_7tev_cms,5,5,3,3
0.7,hgg_pt_8tev_atlas,5,5,3,3
0.7,pTll_106_170,5,5,3,3
0.7,pTll_170_350,5,5,3,3
0.7,pTll_50_76,5,5,3,3
0.7,pTll_76_106,5,5,3,3
0.7,phistar_50_76,5,5,3,3
0.7,ptll_76_106_table,5,5,3,3
0.7,ttbar_mtt_8tev_cms,5,5,3,3
0.7,z_pt_7tev_atlas,5,5,3,3
0.6,atlas_4l_m4l_8tev,5,5,3,3
0.6,atlas_4l_pt4l_8tev,5,5,3,3
0.6,dijet_chi_13tev_cms_mgt6,5,5,3,3
0.6,dijet_chi_7tev_cms,5,5,3,3
0.6,hgg_pt_8tev_atlas,5,5,3,3
0.6,pTll_106_170,5,5,3,3
0.6,pTll_170_350,5,5,3,3
0.6,pTll_50_76,5,5,3,3
0.6,pTll_76_106,5,5,3,3
0.6,phistar_50_76,5,5,3,3
0.6,ptll_76_106_table,5,5,3,3
0.6,ttbar_mtt_8tev_cms,5,5,3,3
0.6,z_pt_7tev_atlas,5,5,3,3
0.5,atlas_4l_m4l_8tev,5,5,3,3
0.5,atlas_4l_pt4l_8tev,5,5,3,3
0.5,dijet_chi_13tev_cms_mgt6,5,5,3,3
0.5,dijet_chi_7tev_cms,5,5,3,3
0.5,hgg_pt_8tev_atlas,5,5,3,3
0.5,pTll_106_170,5,5,3,3
0.5,pTll_170_350,5,5,3,3
0.5,pTll_50_76,5,5,3,3
0.5,pTll_76_106,5,5,3,3
0.5,phistar_50_76,5,5,3,3
0.5,ptll_76_106_table,5,5,3,3
0.5,ttbar_mtt_8tev_cms,5,5,3,3
0.5,z_pt_7tev_atlas,5,5,3,3
0.4,atlas_4l_m4l_8tev,5,5,3,3
0.4,atlas_4l_pt4l_8tev,5,5,3,3
0.4,dijet_chi_13tev_cms_mgt6,5,5,3,3
0.4,dijet_chi_7tev_cms,5,5,3,3
0.4,hgg_pt_8tev_atlas,5,5,3,3
0.4,pTll_106_170,5,5,3,3
0.4,pTll_170_350,5,5,3,3
0.4,pTll_50_76,5,5,3,3
0.4,pTll_76_106,5,5,3,3
0.4,phistar_50_76,5,5,3,3
0.4,ptll_76_106_table,5,5,3,3
0.4,ttbar_mtt_8tev_cms,5,5,3,3
0.4,z_pt_7tev_atlas,5,5,3,3
0.3,atlas_4l_m4l_8tev,5,5,3,3
0.3,atlas_4l_pt4l_8tev,5,5,3,3
0.3,dijet_chi_13tev_cms_mgt6,5,5,3,3
0.3,dijet_chi_7tev_cms,5,5,3,3
0.3,hgg_pt_8tev_atlas,5,5,3,3
0.3,pTll_106_170,5,5,3,3
0.3,pTll_170_350,5,5,3,3
0.3,pTll_50_76,5,5,3,3
0.3,pTll_76_106,5,5,3,3
0.3,phistar_50_76,5,5,3,3
0.3,ptll_76_106_table,5,5,3,3
0.3,ttbar_mtt_8tev_cms,5,5,3,3
0.3,z_pt_7tev_atlas,5,5,3,3
