Z,n_upper,l_upper,degeneracy_upper,n_lower,l_lower,degeneracy_lower,delta_energy_eV,wavelength,wavelength_unit,frequency_THz,angular_frequency_rad_s,wavenumber_cm-1,oscillator_strength
5,2,1,3,1,0,1,255.10674391875,48.6009097715929,angstrom,61684.53623788496,3.8757537177006554e+17,2057574.651790772,0.25
5,3,1,3,1,0,1,302.3487335333333,41.00701761978152,angstrom,73107.59850415993,4.59348588764522e+17,2438606.9947149884,0.14814814814814814
5,3,0,1,2,1,3,47.24198961458333,262.4449127666017,angstrom,11423.062266274992,7.177321699445658e+16,381032.342924217,0.07407407407407407
5,3,1,3,2,0,1,47.24198961458333,262.4449127666017,angstrom,11423.062266274992,7.177321699445658e+16,381032.342924217,0.07407407407407407
5,3,2,5,2,1,3,47.24198961458333,262.4449127666017,angstrom,11423.062266274992,7.177321699445658e+16,381032.342924217,0.14814814814814814
5,4,1,3,1,0,1,318.8834298984375,38.88072781727433,angstrom,77105.67029735619,4.844692147125819e+17,2571968.3147384645,0.09375
5,4,0,1,2,1,3,63.7766859796875,194.4036390863716,angstrom,15421.13405947124,9.689384294251638e+16,514393.662947693,0.0625
5,4,1,3,2,0,1,63.7766859796875,194.4036390863716,angstrom,15421.13405947124,9.689384294251638e+16,514393.662947693,0.0625
5,4,2,5,2,1,3,63.7766859796875,194.4036390863716,angstrom,15421.13405947124,9.689384294251638e+16,514393.662947693,0.125
5,4,0,1,3,1,3,16.534696365104164,749.8426079045764,angstrom,3998.071793196247,2.51206259480598e+16,133361.32002347594,0.03125
5,4,1,3,3,0,1,16.534696365104164,749.8426079045764,angstrom,3998.071793196247,2.51206259480598e+16,133361.32002347594,0.03125
5,4,1,3,3,2,5,16.534696365104164,749.8426079045764,angstrom,3998.071793196247,2.51206259480598e+16,133361.32002347594,0.0625
5,4,2,5,3,1,3,16.534696365104164,749.8426079045764,angstrom,3998.071793196247,2.51206259480598e+16,133361.32002347594,0.0625
5,4,3,7,3,2,5,16.534696365104164,749.8426079045764,angstrom,3998.071793196247,2.51206259480598e+16,133361.32002347594,0.09375
5,5,1,3,1,0,1,326.536632216,37.969460759056965,angstrom,78956.20638449273,4.960964758656838e+17,2633695.5542921876,0.064
5,5,0,1,2,1,3,71.42988829724999,173.57467775568898,angstrom,17271.670146607787,1.0852110409561834e+17,576120.902501416,0.048
5,5,1,3,2,0,1,71.42988829724999,173.57467775568898,angstrom,17271.670146607787,1.0852110409561834e+17,576120.902501416,0.048
5,5,2,5,2,1,3,71.42988829724999,173.57467775568898,angstrom,17271.670146607787,1.0852110409561834e+17,576120.902501416,0.096
5,5,0,1,3,1,3,24.187898682666663,512.587720247269,angstrom,5848.607880332796,3.674788710116177e+16,195088.5595771991,0.032
5,5,1,3,3,0,1,24.187898682666663,512.587720247269,angstrom,5848.607880332796,3.674788710116177e+16,195088.5595771991,0.032
5,5,1,3,3,2,5,24.187898682666663,512.587720247269,angstrom,5848.607880332796,3.674788710116177e+16,195088.5595771991,0.064
5,5,2,5,3,1,3,24.187898682666663,512.587720247269,angstrom,5848.607880332796,3.674788710116177e+16,195088.5595771991,0.064
5,5,3,7,3,2,5,24.187898682666663,512.587720247269,angstrom,5848.607880332796,3.674788710116177e+16,195088.5595771991,0.096
5,5,0,1,4,1,3,7.653202317562499,1620.0303257197636,angstrom,1850.5360871365485,1.1627261153101964e+16,61727.23955372315,0.016
5,5,1,3,4,0,1,7.653202317562499,1620.0303257197636,angstrom,1850.5360871365485,1.1627261153101964e+16,61727.23955372315,0.016
5,5,1,3,4,2,5,7.653202317562499,1620.0303257197636,angstrom,1850.5360871365485,1.1627261153101964e+16,61727.23955372315,0.032
5,5,2,5,4,1,3,7.653202317562499,1620.0303257197636,angstrom,1850.5360871365485,1.1627261153101964e+16,61727.23955372315,0.032
5,5,2,5,4,3,7,7.653202317562499,1620.0303257197636,angstrom,1850.5360871365485,1.1627261153101964e+16,61727.23955372315,0.048
5,5,3,7,4,2,5,7.653202317562499,1620.0303257197636,angstrom,1850.5360871365485,1.1627261153101964e+16,61727.23955372315,0.048
