variant,metric,value,added_edges
baseline,mean_close_centr,0.15713403880070548,0
baseline,size_largest_scc,1,0
baseline,num_strong_connect_comp,10,0
baseline,density,0.1,0
baseline,graph_size,10,0
baseline,edge_count,9,0
baseline,num_self_loops,0,0
baseline,mean_between_centr,0.16666666666666669,0
baseline,mean_eig_centr,0.10262431068836715,0
ternary_l1_le_1,mean_close_centr,0.36809022907900896,17
ternary_l1_le_1,size_largest_scc,10,17
ternary_l1_le_1,num_strong_connect_comp,1,17
ternary_l1_le_1,density,0.28888888888888886,17
ternary_l1_le_1,graph_size,10,17
ternary_l1_le_1,edge_count,26,17
ternary_l1_le_1,num_self_loops,0,17
ternary_l1_le_1,mean_between_centr,0.22361111111111115,17
ternary_l1_le_1,mean_eig_centr,0.2975225139869102,17
ternary_l1_le_2,mean_close_centr,0.5757533256217467,29
ternary_l1_le_2,size_largest_scc,10,29
ternary_l1_le_2,num_strong_connect_comp,1,29
ternary_l1_le_2,density,0.4222222222222222,29
ternary_l1_le_2,graph_size,10,29
ternary_l1_le_2,edge_count,38,29
ternary_l1_le_2,num_self_loops,0,29
ternary_l1_le_2,mean_between_centr,0.09722222222222224,29
ternary_l1_le_2,mean_eig_centr,0.3026239949534212,29
state_recurrence,mean_close_centr,0.23583922274457395,4
state_recurrence,size_largest_scc,10,4
state_recurrence,num_strong_connect_comp,1,4
state_recurrence,density,0.14444444444444443,4
state_recurrence,graph_size,10,4
state_recurrence,edge_count,13,4
state_recurrence,num_self_loops,0,4
state_recurrence,mean_between_centr,0.41111111111111115,4
state_recurrence,mean_eig_centr,0.2894242386454262,4
rz_l1_le_1,mean_close_centr,0.4101902823227688,21
rz_l1_le_1,size_largest_scc,10,21
rz_l1_le_1,num_strong_connect_comp,1,21
rz_l1_le_1,density,0.3333333333333333,21
rz_l1_le_1,graph_size,10,21
rz_l1_le_1,edge_count,30,21
rz_l1_le_1,num_self_loops,0,21
rz_l1_le_1,mean_between_centr,0.19861111111111113,21
rz_l1_le_1,mean_eig_centr,0.25315754687747016,21
hybrid_l1_recurrence,mean_close_centr,0.36809022907900896,17
hybrid_l1_recurrence,size_largest_scc,10,17
hybrid_l1_recurrence,num_strong_connect_comp,1,17
hybrid_l1_recurrence,density,0.28888888888888886,17
hybrid_l1_recurrence,graph_size,10,17
hybrid_l1_recurrence,edge_count,26,17
hybrid_l1_recurrence,num_self_loops,0,17
hybrid_l1_recurrence,mean_between_centr,0.22361111111111115,17
hybrid_l1_recurrence,mean_eig_centr,0.2975225139869104,17
